"",BBDL1.M.DE.N.EMP.EBA000.A0000.A00.D00.0S1.ABA.A,BBDL1.M.DE.N.EMP.EBA000.A0000.A00.D00.0S1.ABA.A_FLAGS
"",Employees subject to social security contributions / Germany / Secondary sector / Absolute value / Unadjusted figure,
unit,Anzahl (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 10:05:02,
2007-01,8365169,
2007-02,8365685,
2007-03,8403786,
2007-04,8447292,
2007-05,8479207,
2007-06,8502749,
2007-07,8517382,
2007-08,8595122,
2007-09,8675005,
2007-10,8685145,
2007-11,8675227,
2007-12,8570060,
2008-01,8524676,
2008-02,8534370,
2008-03,8565393,
2008-04,8603817,
2008-05,8625778,
2008-06,8642701,
2008-07,8646896,
2008-08,8714462,
2008-09,8798107,
2008-10,8792073,
2008-11,8768552,
2008-12,8657721,
2009-01,8556739,
2009-02,8525494,
2009-03,8527633,
2009-04,8512749,
2009-05,8499750,
2009-06,8482325,
2009-07,8451765,
2009-08,8494223,
2009-09,8551230,
2009-10,8526829,
2009-11,8497884,
2009-12,8398456,
2010-01,8294893,
2010-02,8267771,
2010-03,8316301,
2010-04,8368895,
2010-05,8395644,
2010-06,8412326,
2010-07,8414512,
2010-08,8484834,
2010-09,8564886,
2010-10,8556461,
2010-11,8555100,
2010-12,8453898,
2011-01,8392103,
2011-02,8411265,
2011-03,8473284,
2011-04,8514242,
2011-05,8555647,
2011-06,8578249,
2011-07,8586947,
2011-08,8653669,
2011-09,8739070,
2011-10,8746184,
2011-11,8744039,
2011-12,8655546,
2012-01,8620019,
2012-02,8610000,
2012-03,8662973,
2012-04,8697611,
2012-05,8723952,
2012-06,8732675,
2012-07,8737445,
2012-08,8792856,
2012-09,8864935,
2012-10,8866278,
2012-11,8847865,
2012-12,8747078,
2013-01,8685252,
2013-02,8682344,
2013-03,8701299,
2013-04,8744487,
2013-05,8761628,
2013-06,8762896,
2013-07,8767825,
2013-08,8824593,
2013-09,8904559,
2013-10,8898559,
2013-11,8888022,
2013-12,8781436,
2014-01,8738028,
2014-02,8748848,
2014-03,8796069,
2014-04,8825405,
2014-05,8834753,
2014-06,8852768,
2014-07,8859032,
2014-08,8903004,
2014-09,8991700,Estimated value
2014-10,8985200,Estimated value
2014-11,8970600,Estimated value
2014-12,8870000,Estimated value
"",Source: Federal Employment Agency.,
