"",BBK01.OEAA13K,BBK01.OEAA13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:58,
2002-01,111.826,
2002-04,112.098,
2002-07,116.530,
2002-10,117.528,
2003-01,115.726,
2003-04,110.889,
2003-07,113.362,
2003-10,112.254,
2004-01,114.812,
2004-04,124.111,
2004-07,124.627,
2004-10,123.555,
2005-01,122.403,
2005-04,123.127,
2005-07,124.150,
2005-10,124.582,
2006-01,124.521,
2006-04,123.902,
2006-07,123.105,
2006-10,121.079,
2007-01,116.154,
2007-04,117.186,
2007-07,115.696,
2007-10,114.374,
2008-01,117.805,
2008-04,119.260,
2008-07,121.514,
2008-10,122.477,
2009-01,121.919,
2009-04,125.181,
2009-07,124.002,
2009-10,119.120,
2010-01,118.776,
2010-04,119.311,
2010-07,120.518,
2010-10,121.894,
2011-01,119.980,
2011-04,119.145,
2011-07,125.071,
2011-10,125.721,
2012-01,123.669,
2012-04,124.061,
2012-07,124.721,
2012-10,121.150,
2013-01,120.554,
2013-04,120.767,
2013-07,119.680,
2013-10,114.069,
2014-01,113.458,
2014-04,113.695,
2014-07,114.556,
