"",BBK01.OECO01S,BBK01.OECO01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:29,
2002-01,0.481,
2002-04,0.464,
2002-07,0.364,
2002-10,0.367,
2003-01,0.381,
2003-04,0.367,
2003-07,0.349,
2003-10,0.389,
2004-01,0.361,
2004-04,0.352,
2004-07,0.345,
2004-10,0.373,
2005-01,1.324,
2005-04,1.337,
2005-07,1.336,
2005-10,1.348,
2006-01,1.356,
2006-04,1.365,
2006-07,1.355,
2006-10,1.289,
2007-01,1.280,
2007-04,1.314,
2007-07,1.301,
2007-10,1.270,
2008-01,1.288,
2008-04,1.287,
2008-07,1.325,
2008-10,1.293,
2009-01,1.292,
2009-04,1.324,
2009-07,1.374,
2009-10,1.441,
2010-01,1.504,
2010-04,1.522,
2010-07,1.494,
2010-10,1.505,
2011-01,1.524,
2011-04,1.509,
2011-07,1.495,
2011-10,1.491,
2012-01,1.496,
2012-04,1.601,
2012-07,1.583,
2012-10,1.581,
2013-01,1.626,
2013-04,1.630,
2013-07,1.614,
2013-10,1.585,
2014-01,1.588,
2014-04,1.575,
2014-07,1.546,
