"",BBK01.OECM01S,BBK01.OECM01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:26,
2002-01,0.254,
2002-04,0.226,
2002-07,0.221,
2002-10,0.288,
2003-01,0.189,
2003-04,0.152,
2003-07,0.175,
2003-10,0.145,
2004-01,0.109,
2004-04,0.138,
2004-07,0.126,
2004-10,0.111,
2005-01,0.135,
2005-04,0.111,
2005-07,0.122,
2005-10,0.106,
2006-01,0.103,
2006-04,0.086,
2006-07,0.097,
2006-10,0.084,
2007-01,0.103,
2007-04,0.097,
2007-07,0.118,
2007-10,0.126,
2008-01,0.121,
2008-04,0.117,
2008-07,0.128,
2008-10,0.130,
2009-01,0.158,
2009-04,0.258,
2009-07,0.129,
2009-10,0.136,
2010-01,0.137,
2010-04,0.134,
2010-07,0.148,
2010-10,0.128,
2011-01,0.167,
2011-04,0.142,
2011-07,0.156,
2011-10,0.189,
2012-01,0.305,
2012-04,0.188,
2012-07,0.187,
2012-10,0.166,
2013-01,0.174,
2013-04,0.182,
2013-07,0.153,
2013-10,0.226,
2014-01,0.214,
2014-04,0.125,
2014-07,0.118,
