"",BBK01.OELK05G,BBK01.OELK05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:36,
2002-01,0.088,
2002-04,0.095,
2002-07,0.100,
2002-10,0.106,
2003-01,0.116,
2003-04,0.113,
2003-07,0.112,
2003-10,0.120,
2004-01,0.123,
2004-04,0.125,
2004-07,0.128,
2004-10,0.130,
2005-01,0.128,
2005-04,0.124,
2005-07,0.120,
2005-10,0.122,
2006-01,0.119,
2006-04,0.120,
2006-07,0.116,
2006-10,0.113,
2007-01,0.109,
2007-04,0.100,
2007-07,0.098,
2007-10,0.097,
2008-01,0.093,
2008-04,0.092,
2008-07,0.087,
2008-10,0.088,
2009-01,0.082,
2009-04,0.082,
2009-07,0.088,
2009-10,0.107,
2010-01,0.124,
2010-04,0.124,
2010-07,0.129,
2010-10,0.133,
2011-01,0.133,
2011-04,0.142,
2011-07,0.144,
2011-10,0.142,
2012-01,0.133,
2012-04,0.124,
2012-07,0.116,
2012-10,0.110,
2013-01,0.109,
2013-04,0.104,
2013-07,0.095,
2013-10,0.092,
2014-01,0.090,
2014-04,0.086,
2014-07,0.079,
