"",BBEX3.M.DZD.USD.CA.AB.A01,BBEX3.M.DZD.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Algeria / USD 1 = DZD ... (selling),
unit,DZD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:08,
1975-01,3.9375,
1975-02,3.8150,
1975-03,3.8650,
1975-04,3.8800,
1975-05,3.8440,
1975-06,3.8580,
1975-07,4.0575,
1975-08,4.0795,
1975-09,4.1550,
1975-10,4.0700,
1975-11,4.1250,
1975-12,4.1325,
1976-01,4.1350,
1976-02,4.1450,
1976-03,4.1450,
1976-04,4.1420,
1976-05,4.1730,
1976-06,4.1710,
1976-07,4.2055,
1976-08,4.2020,
1976-09,4.1760,
1976-10,4.1905,
1976-11,4.1860,
1976-12,4.1660,
1977-01,4.1880,
1977-02,4.1870,
1977-03,4.1810,
1977-04,4.1700,
1977-05,4.1670,
1977-06,4.1560,
1977-07,4.1395,
1977-08,4.1580,
1977-09,4.1550,
1977-10,4.1290,
1977-11,4.1225,
1977-12,4.0425,
1978-01,4.0515,
1978-02,4.0380,
1978-03,3.9950,
1978-04,4.0165,
1978-05,4.0295,
1978-06,3.9950,
1978-07,3.9425,
1978-08,3.9205,
1978-09,3.9000,
1978-10,3.7535,
1978-11,3.9450,
1978-12,3.8440,
1979-01,3.8870,
1979-02,3.8775,
1979-03,3.8880,
1979-04,3.9175,
1979-05,3.9325,
1979-06,3.8700,
1979-07,3.8550,
1979-08,3.8500,
1979-09,3.8090,
1979-10,3.8550,
1979-11,3.7925,
1979-12,3.7630,
1980-01,3.7585,
1980-02,3.8090,
1980-03,3.9670,
1980-04,3.8380,
1980-05,3.8160,
1980-06,3.7850,
1980-07,3.7970,
1980-08,3.8185,
1980-09,3.8335,
1980-10,3.9165,
1980-11,3.9505,
1980-12,3.9790,
1981-01,4.1210,
1981-02,4.1735,
1981-03,4.1520,
1981-04,4.2620,
1981-05,4.3590,
1981-06,4.4205,
1981-07,4.4745,
1981-08,4.4575,
1981-09,4.3850,
1981-10,4.3840,
1981-11,4.3360,
1981-12,4.3855,
1982-01,4.4350,
1982-02,4.5055,
1982-03,4.5475,
1982-04,4.5020,
1982-05,4.5095,
1982-06,4.6515,
1982-07,4.6490,
1982-08,4.6850,
1982-09,4.7125,
1982-10,4.7455,
1982-11,4.7025,
1982-12,4.6430,
1983-01,4.6875,
1983-02,4.6745,
1983-03,4.7300,
1983-04,4.7450,
1983-05,4.7785,
1983-06,4.7990,
1983-07,4.8580,
1983-08,4.8960,
1983-09,4.8655,
1983-10,4.8635,
1983-11,4.9009,
1983-12,4.9240,
1984-01,4.9699,
1984-02,4.8627,
1984-03,4.8574,
1984-04,4.9255,
1984-05,4.9360,
1984-06,4.9648,
1984-07,5.0231,
1984-08,5.0169,
1984-09,5.0831,
1984-10,5.0866,
1984-11,5.1145,
1984-12,5.1302,
1985-01,5.1478,
1985-02,5.2147,
1985-03,5.1116,
1985-04,5.1124,
1985-05,5.1096,
1985-06,5.0930,
1985-07,4.9613,
1985-08,4.9631,
1985-09,4.9051,
1985-10,4.8710,
1985-11,4.8096,
1985-12,4.7803,
1986-01,4.7450,
1986-02,4.6329,
1986-03,4.6970,
1986-04,4.6318,
1986-05,4.7202,
1986-06,4.6407,
1986-07,4.5850,
1986-08,4.5637,
1986-09,4.6791,
1986-10,4.8587,
1986-11,4.7841,
1986-12,4.8310,
1987-01,4.6461,
1987-02,4.6694,
1987-03,4.6751,
1987-04,4.6937,
1987-05,4.7961,
1987-06,4.8583,
1987-07,4.9837,
1987-08,5.0152,
1987-09,5.0892,
1987-10,5.0084,
1987-11,4.8807,
1987-12,4.9438,
1988-01,5.1826,
1988-02,5.2976,
1988-03,5.3046,
1988-04,5.4365,
1988-05,5.6347,
1988-06,5.9729,
1988-07,6.2442,
1988-08,6.4526,
1988-09,6.6084,
1988-10,6.4684,
1988-11,6.5474,
1988-12,6.7383,
1989-01,6.9187,
1989-02,6.8528,
1989-03,7.0738,
1989-04,7.2067,
1989-05,7.6343,
1989-06,7.7195,
1989-07,7.6935,
1989-08,8.1380,
1989-09,8.1014,
1989-10,8.1530,
1989-11,8.1919,
1989-12,8.0399,
1990-01,7.9783,
1990-02,7.9851,
1990-03,7.9749,
1990-04,8.0442,
1990-05,8.4471,
1990-06,8.7389,
1990-07,8.8541,
1990-08,9.1276,
1990-09,9.4990,
1990-10,9.6985,
1990-11,10.9526,
1990-12,12.1983,
1991-01,15.6466,
1991-02,16.6024,
1991-03,17.7728,
1991-04,17.5061,
1991-05,17.8245,
1991-06,18.3920,
1991-07,18.0056,
1991-08,17.9296,
1991-09,21.4464,comment
1991-10,22.6350,
1991-11,22.3271,
1991-12,21.3994,
1992-01,22.1482,
1992-02,22.3375,
1992-03,22.3895,
1992-04,22.3916,
1992-05,22.1669,
1992-06,21.3370,
1992-07,21.0853,
1992-08,20.5154,
1992-09,21.0666,
1992-10,21.8986,
1992-11,22.5871,
1992-12,22.7868,
1993-01,22.5122,
1993-02,23.0676,
1993-03,23.1279,
1993-04,22.5310,
1993-05,22.8825,
1993-06,23.5793,
1993-07,23.8456,
1993-08,23.7291,
1993-09,23.3172,
1993-10,23.8372,
1993-11,24.1222,
1993-12,24.1305,
1994-01,24.0473,
1994-02,23.9412,
1994-03,25.9521,
1994-04,36.0025,comment
1994-05,36.9927,
1994-06,38.2847,
1994-07,38.2570,
1994-08,38.5741,
1994-09,40.9103,
1994-10,40.9700,
