"",BBFB1.Q.N.DE.A1.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:15,
1991-01,1201.941,
1991-04,148.205,
1991-07,-2638.160,
1991-10,607.809,
1992-01,680.803,
1992-04,-1214.694,
1992-07,257.095,
1992-10,684.761,
1993-01,604.490,
1993-04,1482.287,
1993-07,273.078,
1993-10,654.244,
1994-01,2705.714,
1994-04,-177.624,
1994-07,-1418.025,
1994-10,2993.041,
1995-01,717.802,
1995-04,2494.427,
1995-07,3377.182,
1995-10,4106.189,
1996-01,-1849.716,
1996-04,4686.169,
1996-07,1649.092,
1996-10,1144.116,
1997-01,7959.901,
1997-04,5052.600,
1997-07,1878.208,
1997-10,6531.859,
1998-01,4118.823,
1998-04,4616.552,
1998-07,434.195,
1998-10,10227.126,
1999-01,4390.032,
1999-04,13776.763,
1999-07,12117.781,
1999-10,11889.827,
2000-01,12494.301,
2000-04,2217.994,
2000-07,4066.809,
2000-10,10768.356,
2001-01,28949.972,
2001-04,2679.661,
2001-07,10474.400,
2001-10,-18209.859,
2002-01,18701.028,
2002-04,7299.414,
2002-07,-17211.687,
2002-10,-17187.882,
2003-01,-2425.360,
2003-04,-774.130,
2003-07,-6002.412,
2003-10,-2081.676,
2004-01,6523.248,
2004-04,-9017.393,
2004-07,-5411.094,
2004-10,-10057.976,
2005-01,5975.979,
2005-04,-597.173,
2005-07,-2052.432,
2005-10,-14588.606,
2006-01,-4893.228,
2006-04,547.271,
2006-07,6408.163,
2006-10,-9010.907,
2007-01,-4733.415,
2007-04,4671.224,
2007-07,17679.330,
2007-10,-4823.656,
2008-01,20488.058,
2008-04,10499.990,
2008-07,-18232.543,
2008-10,7538.395,
2009-01,18938.086,
2009-04,5269.190,
2009-07,-11098.133,
2009-10,-19740.758,
2010-01,-8253.737,
2010-04,19542.877,
2010-07,1121.093,
2010-10,663.306,
2011-01,1699.515,
2011-04,1598.226,
2011-07,3763.539,
2011-10,-6522.536,
2012-01,5775.429,
2012-04,2336.282,
2012-07,11643.024,
2012-10,-11209.622,
2013-01,1096.976,
2013-04,-3936.240,
2013-07,-5772.756,
2013-10,-1707.281,
2014-01,-158.344,Provisional value
2014-04,-3646.262,Provisional value
2014-07,8503.743,Provisional value
2014-10,29196.059,Provisional value
