"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.DE.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.DE.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:30,
2009-09,30227,
2009-10,29904,
2009-11,31268,
2009-12,30932,
2010-01,32056,
2010-02,33031,
2010-03,33858,
2010-04,35130,
2010-05,36311,
2010-06,36204,
2010-07,36413,
2010-08,37320,
2010-09,37059,
2010-10,35538,
2010-11,35560,
2010-12,36040,
2011-01,33948,
2011-02,32960,
2011-03,32169,
2011-04,31542,
2011-05,32220,
2011-06,32019,
2011-07,33592,
2011-08,34046,
2011-09,34248,
2011-10,34101,
2011-11,33941,
2011-12,33247,
2012-01,33325,
2012-02,33075,
2012-03,32232,
2012-04,32806,
2012-05,32901,
2012-06,31669,
2012-07,31858,
2012-08,31265,
2012-09,30521,
2012-10,30115,
2012-11,29309,
2012-12,29221,
2013-01,28556,
2013-02,29891,
2013-03,29950,
2013-04,29737,
2013-05,30069,
2013-06,29638,
2013-07,29700,
2013-08,29789,
2013-09,29389,
2013-10,28640,
2013-11,27224,
2013-12,26506,
2014-01,26843,
2014-02,26772,
2014-03,26277,
2014-04,26451,
2014-05,26401,
2014-06,26507,
2014-07,26988,
2014-08,27317,
2014-09,27034,
2014-10,27028,
2014-11,26723,
