"",BBK01.CEFP03,BBK01.CEFP03_FLAGS
"",Time deposits                                                    debtor: Total           creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:22,
1999-01,1163.5,
1999-04,1195.4,
1999-07,1257.7,
1999-10,1299.8,
2000-01,1292.6,
2000-04,1282.1,
2000-07,1316.0,
2000-10,1401.1,
2001-01,1391.2,
2001-04,1379.7,
2001-07,1408.0,
2001-10,1459.8,
2002-01,1409.7,
2002-04,1420.4,
2002-07,1464.3,
2002-10,1562.4,
2003-01,1552.5,
2003-04,1612.2,
2003-07,1554.0,
2003-10,1621.5,
2004-01,1580.2,
2004-04,1671.3,
2004-07,1660.6,
2004-10,1770.8,
2005-01,1743.2,
2005-04,1806.7,
2005-07,1848.4,
2005-10,1876.6,
2006-01,1922.2,
2006-04,1983.3,
2006-07,1939.2,
2006-10,2010.4,
2007-01,2013.8,
2007-04,2038.6,
2007-07,2107.6,
2007-10,2253.9,
2008-01,2177.3,
2008-04,2201.3,
2008-07,2318.2,
2008-10,2346.8,
2009-01,2156.8,
2009-04,2171.3,
2009-07,2005.8,
2009-10,2016.4,
2010-01,1957.0,
2010-04,2007.5,
2010-07,1796.2,
2010-10,1737.6,
2011-01,1646.9,
2011-04,1614.4,
2011-07,1632.1,
2011-10,1737.9,
2012-01,1694.5,
2012-04,1644.4,
2012-07,1604.6,
2012-10,1551.6,
2013-01,1489.4,
2013-04,1454.4,
2013-07,1576.5,
2013-10,1594.8,
2014-01,1579.9,
2014-04,1601.9,
2014-07,1592.6,
