"",BBK01.OEAG05G,BBK01.OEAG05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:12,
2002-01,0.805,
2002-04,0.963,
2002-07,1.354,
2002-10,1.316,
2003-01,1.313,
2003-04,1.564,
2003-07,1.724,
2003-10,1.618,
2004-01,1.696,
2004-04,1.524,
2004-07,1.448,
2004-10,1.358,
2005-01,1.264,
2005-04,1.084,
2005-07,0.984,
2005-10,0.708,
2006-01,0.684,
2006-04,0.532,
2006-07,0.492,
2006-10,0.491,
2007-01,0.455,
2007-04,0.551,
2007-07,0.565,
2007-10,0.486,
2008-01,0.544,
2008-04,0.486,
2008-07,0.483,
2008-10,0.490,
2009-01,0.668,
2009-04,0.512,
2009-07,0.615,
2009-10,0.451,
2010-01,0.446,
2010-04,0.446,
2010-07,0.593,
2010-10,0.432,
2011-01,0.575,
2011-04,0.582,
2011-07,0.378,
2011-10,0.328,
2012-01,0.400,
2012-04,0.309,
2012-07,0.305,
2012-10,0.281,
2013-01,0.280,
2013-04,0.279,
2013-07,0.296,
2013-10,0.263,
2014-01,0.396,
2014-04,0.280,
2014-07,0.261,
