"",BBK01.OELB09S,BBK01.OELB09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:22,
2002-01,0.518,
2002-04,0.509,
2002-07,0.512,
2002-10,0.461,
2003-01,0.448,
2003-04,0.454,
2003-07,0.444,
2003-10,0.408,
2004-01,0.417,
2004-04,0.430,
2004-07,0.414,
2004-10,0.381,
2005-01,0.393,
2005-04,0.398,
2005-07,0.398,
2005-10,0.387,
2006-01,0.372,
2006-04,0.404,
2006-07,0.403,
2006-10,0.395,
2007-01,0.437,
2007-04,0.459,
2007-07,0.474,
2007-10,0.438,
2008-01,0.458,
2008-04,0.493,
2008-07,0.524,
2008-10,0.503,
2009-01,0.533,
2009-04,0.551,
2009-07,0.611,
2009-10,0.668,
2010-01,0.683,
2010-04,0.700,
2010-07,0.711,
2010-10,0.706,
2011-01,0.733,
2011-04,0.767,
2011-07,0.756,
2011-10,0.908,
2012-01,0.944,
2012-04,0.978,
2012-07,0.976,
2012-10,0.928,
2013-01,0.944,
2013-04,0.983,
2013-07,0.991,
2013-10,1.030,
2014-01,1.042,
2014-04,1.060,
2014-07,1.071,
