"",BBK01.OECK01V,BBK01.OECK01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:41,
2002-01,0.567,
2002-04,0.570,
2002-07,0.590,
2002-10,0.621,
2003-01,0.574,
2003-04,0.586,
2003-07,0.582,
2003-10,0.623,
2004-01,0.634,
2004-04,0.653,
2004-07,0.660,
2004-10,0.643,
2005-01,0.691,
2005-04,0.705,
2005-07,0.691,
2005-10,0.735,
2006-01,0.731,
2006-04,0.728,
2006-07,0.718,
2006-10,0.829,
2007-01,0.788,
2007-04,0.809,
2007-07,0.873,
2007-10,0.876,
2008-01,0.903,
2008-04,0.878,
2008-07,0.906,
2008-10,0.970,
2009-01,0.923,
2009-04,0.909,
2009-07,0.911,
2009-10,0.920,
2010-01,0.886,
2010-04,0.880,
2010-07,0.891,
2010-10,0.895,
2011-01,0.870,
2011-04,0.869,
2011-07,0.868,
2011-10,0.895,
2012-01,0.866,
2012-04,1.614,
2012-07,1.630,
2012-10,1.627,
2013-01,1.628,
2013-04,1.632,
2013-07,1.667,
2013-10,1.692,
2014-01,1.699,
2014-04,1.711,
2014-07,1.718,
