"",BBEX3.A.BYR.USD.CA.AC.A04,BBEX3.A.BYR.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Belarus / USD 1 = BYR ... (middle),
unit,BYR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:24,
2000,750.17,
2001,1390.50,
2002,1789.58,
2003,2056.17,
2004,2160.38,
2005,2153.50,
2006,2144.38,
2007,2146.21,
2008,2137.67,
2009,2801.96,comment
2010,2979.42,
2011,5067.00,comment
2012,8342.50,
2013,8901.25,
2014,10280.42,
"","General: A currency conversion took place with effect from 1 January 2000. The former currency, the (old) Belarusian rouble was replaced by the (new) Belarusian rouble at the rate of 1,000:1.",
"","Source: National Bank of Belarus, Minsk.",
"","Methodology: 2000 calculated on the basis of month-end rates, and from 2001 on the basis of mid-month and month-end rates.",
"","Comment on 2009: On 2 January 2009, the Belarusian rouble was devalued. Calculated using the exchange rates from 31 December 2008 (USD 1 = BYR 2,200.00) and 2 January 2009 (USD 1 = BYR 2,650.00) the Belarusian rouble was devalued by 17.0%.",
"","Comment on 2011: On 24 May 2011, the Belarusian rouble was devalued. Calculated using the exchange rates from 23 May (USD 1 = BYR 3,155.00) and 24 May 2011 (USD 1 = BYR 4,930.00) the Belarusian rouble was devalued by 36.0%. On 21 October 2011, the Belarusian rouble was devalued again. Calculated using the exchange rates from 20 October (USD 1 = BYR 5,712.00) and 21 October 2011 (USD 1 = BYR 8,680.00) the Belarusian rouble was devalued by 34.2%.",
