"",BBSF2.M.1.S.I1251.AKT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.AKT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:29,
2009-09,0,
2009-10,0,
2009-11,0,
2009-12,76,
2010-01,70,
2010-02,0,
2010-03,2,
2010-04,64,
2010-05,0,
2010-06,90,
2010-07,0,
2010-08,41,
2010-09,5,
2010-10,0,
2010-11,1,
2010-12,98,
2011-01,2,
2011-02,0,
2011-03,7,
2011-04,0,
2011-05,1,
2011-06,6,
2011-07,0,
2011-08,5,
2011-09,6,
2011-10,1,
2011-11,0,
2011-12,35,
2012-01,2,
2012-02,0,
2012-03,7,
2012-04,1,
2012-05,0,
2012-06,2,
2012-07,0,
2012-08,0,
2012-09,91,
2012-10,5,
2012-11,0,
2012-12,117,
2013-01,1,
2013-02,0,
2013-03,312,
2013-04,140,
2013-05,0,
2013-06,0,
2013-07,1,
2013-08,100,
2013-09,0,
2013-10,7,
2013-11,0,
2013-12,126,
2014-01,1,
2014-02,2,
2014-03,0,
2014-04,4428,
2014-05,0,
2014-06,0,
2014-07,256,
2014-08,350,
2014-09,21,
2014-10,51,
2014-11,95,
