"",BBK01.OEYI05P,BBK01.OEYI05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:04,
2002-01,1.972,
2002-04,1.950,
2002-07,2.095,
2002-10,2.189,
2003-01,2.303,
2003-04,2.319,
2003-07,2.378,
2003-10,2.500,
2004-01,2.516,
2004-04,2.571,
2004-07,2.792,
2004-10,2.922,
2005-01,3.070,
2005-04,3.142,
2005-07,3.239,
2005-10,3.282,
2006-01,3.307,
2006-04,3.256,
2006-07,3.333,
2006-10,3.372,
2007-01,3.332,
2007-04,3.338,
2007-07,3.317,
2007-10,3.313,
2008-01,3.281,
2008-04,3.249,
2008-07,3.253,
2008-10,3.214,
2009-01,3.177,
2009-04,2.700,
2009-07,2.645,
2009-10,2.533,
2010-01,2.507,
2010-04,2.488,
2010-07,2.448,
2010-10,2.427,
2011-01,2.491,
2011-04,2.438,
2011-07,2.563,
2011-10,2.588,
2012-01,2.640,
2012-04,2.634,
2012-07,2.664,
2012-10,2.773,
2013-01,2.792,
2013-04,2.744,
2013-07,2.723,
2013-10,2.671,
2014-01,2.678,
2014-04,2.801,
2014-07,2.789,
