"",BBK01.OEAA18V,BBK01.OEAA18V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:09,
2002-01,3.888,
2002-04,3.998,
2002-07,3.826,
2002-10,3.786,
2003-01,3.630,
2003-04,3.386,
2003-07,3.223,
2003-10,3.158,
2004-01,3.183,
2004-04,3.145,
2004-07,3.094,
2004-10,2.933,
2005-01,2.866,
2005-04,2.832,
2005-07,2.819,
2005-10,2.570,
2006-01,2.660,
2006-04,2.495,
2006-07,2.426,
2006-10,2.397,
2007-01,2.262,
2007-04,2.278,
2007-07,2.338,
2007-10,2.375,
2008-01,2.463,
2008-04,2.276,
2008-07,2.475,
2008-10,2.298,
2009-01,2.169,
2009-04,2.243,
2009-07,2.078,
2009-10,2.049,
2010-01,2.072,
2010-04,2.103,
2010-07,2.034,
2010-10,1.959,
2011-01,1.783,
2011-04,1.908,
2011-07,2.046,
2011-10,1.989,
2012-01,1.914,
2012-04,1.920,
2012-07,1.957,
2012-10,1.956,
2013-01,2.045,
2013-04,1.918,
2013-07,2.118,
2013-10,1.973,
2014-01,1.862,
2014-04,2.208,
2014-07,2.209,
