"",BBK01.OECI03U,BBK01.OECI03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:37,
2002-01,0.642,
2002-04,0.620,
2002-07,0.606,
2002-10,0.559,
2003-01,0.562,
2003-04,0.538,
2003-07,0.518,
2003-10,0.525,
2004-01,0.501,
2004-04,0.444,
2004-07,0.484,
2004-10,0.488,
2005-01,0.540,
2005-04,0.525,
2005-07,0.544,
2005-10,0.549,
2006-01,0.575,
2006-04,0.607,
2006-07,0.612,
2006-10,0.656,
2007-01,0.723,
2007-04,0.753,
2007-07,0.878,
2007-10,1.013,
2008-01,1.020,
2008-04,1.117,
2008-07,1.238,
2008-10,1.114,
2009-01,1.036,
2009-04,1.079,
2009-07,0.866,
2009-10,0.747,
2010-01,0.686,
2010-04,0.660,
2010-07,0.590,
2010-10,0.585,
2011-01,0.636,
2011-04,0.641,
2011-07,0.630,
2011-10,0.677,
2012-01,0.831,
2012-04,0.792,
2012-07,0.656,
2012-10,0.524,
2013-01,0.401,
2013-04,0.444,
2013-07,0.416,
2013-10,0.383,
2014-01,0.375,
2014-04,0.387,
2014-07,0.316,
