"",BBK01.OECI09M,BBK01.OECI09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:15,
2002-01,0.156,
2002-04,0.153,
2002-07,0.148,
2002-10,0.147,
2003-01,0.138,
2003-04,0.134,
2003-07,0.130,
2003-10,0.130,
2004-01,0.124,
2004-04,0.120,
2004-07,0.116,
2004-10,0.119,
2005-01,0.156,
2005-04,0.150,
2005-07,0.142,
2005-10,0.144,
2006-01,0.141,
2006-04,0.145,
2006-07,0.150,
2006-10,0.162,
2007-01,0.186,
2007-04,0.196,
2007-07,0.207,
2007-10,0.224,
2008-01,0.229,
2008-04,0.236,
2008-07,0.269,
2008-10,0.373,
2009-01,0.365,
2009-04,0.365,
2009-07,0.378,
2009-10,0.299,
2010-01,0.243,
2010-04,0.234,
2010-07,0.224,
2010-10,0.251,
2011-01,0.274,
2011-04,0.279,
2011-07,0.280,
2011-10,0.289,
2012-01,0.280,
2012-04,0.274,
2012-07,0.254,
2012-10,0.213,
2013-01,0.179,
2013-04,0.159,
2013-07,0.149,
2013-10,0.139,
2014-01,0.124,
2014-04,0.120,
2014-07,0.161,
