"",BBNZ1.Q.DE.Y.G.0108.A,BBNZ1.Q.DE.Y.G.0108.A_FLAGS
"",Germany / National accounts / Use of GDP / Domestic demand / At current prices / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:00,
1991-01,387.123,
1991-04,398.385,
1991-07,397.121,
1991-10,409.672,
1992-01,419.737,
1992-04,424.136,
1992-07,425.036,
1992-10,433.684,
1993-01,428.192,
1993-04,435.168,
1993-07,441.159,
1993-10,441.265,
1994-01,448.893,
1994-04,450.537,
1994-07,459.018,
1994-10,467.553,
1995-01,464.294,
1995-04,473.101,
1995-07,476.699,
1995-10,475.721,
1996-01,470.276,
1996-04,477.664,
1996-07,479.415,
1996-10,482.661,
1997-01,482.121,
1997-04,485.532,
1997-07,486.056,
1997-10,489.722,
1998-01,494.649,
1998-04,495.199,
1998-07,498.123,
1998-10,498.993,
1999-01,507.233,
1999-04,506.492,
1999-07,512.878,
1999-10,516.660,
2000-01,521.232,
2000-04,525.078,
2000-07,529.999,
2000-10,531.609,
2001-01,535.566,
2001-04,536.444,
2001-07,534.556,
2001-10,534.072,
2002-01,527.439,
2002-04,526.183,
2002-07,528.433,
2002-10,530.190,
2003-01,535.302,
2003-04,532.873,
2003-07,534.355,
2003-10,536.027,
2004-01,533.638,
2004-04,533.372,
2004-07,540.840,
2004-10,540.056,
2005-01,534.515,
2005-04,543.583,
2005-07,547.461,
2005-10,553.806,
2006-01,558.395,
2006-04,565.682,
2006-07,569.575,
2006-10,570.275,
2007-01,581.983,
2007-04,582.527,
2007-07,588.259,
2007-10,592.470,
2008-01,599.086,
2008-04,598.947,
2008-07,605.781,
2008-10,599.359,
2009-01,585.235,
2009-04,579.660,
2009-07,584.382,
2009-10,585.147,
2010-01,596.342,
2010-04,609.578,
2010-07,613.289,
2010-10,620.180,
2011-01,635.623,
2011-04,642.166,
2011-07,642.839,
2011-10,646.086,
2012-01,646.261,
2012-04,645.016,
2012-07,644.761,
2012-10,652.663,
2013-01,653.277,
2013-04,660.336,
2013-07,666.268,
2013-10,669.027,
2014-01,677.666,
2014-04,679.607,
2014-07,677.221,
2014-10,682.909,
