"",BBNZ1.Q.DE.Y.G.0110.A,BBNZ1.Q.DE.Y.G.0110.A_FLAGS
"",Germany / National accounts / Use of GDP / Exports of goods and services / At current prices / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:03,
1991-01,94.206,
1991-04,91.661,
1991-07,95.482,
1991-10,95.906,
1992-01,96.789,
1992-04,93.290,
1992-07,95.260,
1992-10,91.261,
1993-01,89.279,
1993-04,87.855,
1993-07,87.925,
1993-10,89.726,
1994-01,92.821,
1994-04,97.694,
1994-07,96.957,
1994-10,98.440,
1995-01,102.920,
1995-04,104.002,
1995-07,104.532,
1995-10,106.567,
1996-01,107.619,
1996-04,108.183,
1996-07,110.476,
1996-10,115.834,
1997-01,117.980,
1997-04,122.288,
1997-07,129.251,
1997-10,131.475,
1998-01,133.678,
1998-04,135.354,
1998-07,133.346,
1998-10,130.338,
1999-01,130.816,
1999-04,137.670,
1999-07,141.506,
1999-10,145.313,
2000-01,153.779,
2000-04,160.034,
2000-07,164.310,
2000-10,174.599,
2001-01,173.522,
2001-04,174.362,
2001-07,174.088,
2001-10,175.504,
2002-01,174.690,
2002-04,179.705,
2002-07,182.468,
2002-10,185.684,
2003-01,178.998,
2003-04,177.559,
2003-07,182.495,
2003-10,186.737,
2004-01,193.545,
2004-04,203.037,
2004-07,200.246,
2004-10,202.627,
2005-01,207.435,
2005-04,211.891,
2005-07,220.402,
2005-10,225.184,
2006-01,233.594,
2006-04,241.390,
2006-07,248.221,
2006-10,263.097,
2007-01,262.887,
2007-04,270.030,
2007-07,275.049,
2007-10,276.861,
2008-01,282.842,
2008-04,283.045,
2008-07,281.462,
2008-10,263.122,
2009-01,229.319,
2009-04,224.336,
2009-07,232.894,
2009-10,241.060,
2010-01,249.345,
2010-04,270.820,
2010-07,278.227,
2010-10,285.273,
2011-01,295.553,
2011-04,300.338,
2011-07,304.218,
2011-10,304.453,
2012-01,312.468,
2012-04,317.260,
2012-07,321.239,
2012-10,314.623,
2013-01,316.088,
2013-04,320.488,
2013-07,321.569,
2013-10,326.876,
2014-01,325.183,
2014-04,328.432,
2014-07,335.518,
2014-10,340.993,
