"",BBFB1.Q.N.DE.AU.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:48,
1991-01,-16.396,
1991-04,20.824,
1991-07,37.213,
1991-10,-17.437,
1992-01,-21.849,
1992-04,20.550,
1992-07,6.711,
1992-10,-33.333,
1993-01,-44.136,
1993-04,-14.040,
1993-07,-9.896,
1993-10,-35.498,
1994-01,-68.665,
1994-04,-12.192,
1994-07,-28.959,
1994-10,-66.588,
1995-01,-79.983,
1995-04,-26.157,
1995-07,-36.471,
1995-10,-81.391,
1996-01,-71.740,
1996-04,5.249,
1996-07,-6.141,
1996-10,-38.369,
1997-01,-56.312,
1997-04,3.466,
1997-07,-10.284,
1997-10,-68.812,
1998-01,-67.023,
1998-04,34.500,
1998-07,3.610,
1998-10,-44.295,
1999-01,-64.321,
1999-04,1.793,
1999-07,2.257,
1999-10,-78.782,
2000-01,-96.710,
2000-04,7.941,
2000-07,-25.726,
2000-10,-77.053,
2001-01,-86.208,
2001-04,7.812,
2001-07,-1.053,
2001-10,-76.738,
2002-01,-59.809,
2002-04,-17.202,
2002-07,-49.426,
2002-10,-21.879,
2003-01,-102.056,
2003-04,-50.879,
2003-07,-27.884,
2003-10,-162.028,
2004-01,-82.123,
2004-04,-9.394,
2004-07,-110.277,
2004-10,-44.991,
2005-01,-105.515,
2005-04,-25.833,
2005-07,-33.041,
2005-10,-55.048,
2006-01,-54.599,
2006-04,-44.293,
2006-07,26.075,
2006-10,-124.063,
2007-01,-107.381,
2007-04,38.923,
2007-07,110.089,
2007-10,102.672,
2008-01,-35.974,
2008-04,-11.557,
2008-07,28.452,
2008-10,27.652,
2009-01,-117.104,
2009-04,-65.495,
2009-07,106.379,
2009-10,74.863,
2010-01,75.114,
2010-04,98.800,
2010-07,7.776,
2010-10,-74.772,
2011-01,-171.440,
2011-04,-36.993,
2011-07,52.925,
2011-10,16.363,
2012-01,-115.338,
2012-04,-9.759,
2012-07,30.311,
2012-10,-97.917,
2013-01,-148.164,
2013-04,45.679,
2013-07,68.462,
2013-10,69.401,
2014-01,-49.094,Provisional value
2014-04,-16.720,Provisional value
2014-07,93.884,Provisional value
