"",BBK01.OECK03H,BBK01.OECK03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:50,
2002-01,2.077,
2002-04,1.873,
2002-07,1.942,
2002-10,1.817,
2003-01,1.657,
2003-04,1.616,
2003-07,1.365,
2003-10,1.303,
2004-01,1.057,
2004-04,0.911,
2004-07,1.240,
2004-10,1.191,
2005-01,1.301,
2005-04,1.271,
2005-07,1.170,
2005-10,1.299,
2006-01,1.379,
2006-04,1.618,
2006-07,1.744,
2006-10,2.084,
2007-01,2.086,
2007-04,2.137,
2007-07,2.746,
2007-10,3.294,
2008-01,3.409,
2008-04,3.473,
2008-07,3.695,
2008-10,3.389,
2009-01,2.046,
2009-04,1.998,
2009-07,1.913,
2009-10,1.958,
2010-01,1.661,
2010-04,1.510,
2010-07,1.345,
2010-10,1.308,
2011-01,1.261,
2011-04,1.356,
2011-07,1.365,
2011-10,1.387,
2012-01,1.315,
2012-04,1.222,
2012-07,1.166,
2012-10,1.093,
2013-01,0.869,
2013-04,0.905,
2013-07,1.136,
2013-10,1.217,
2014-01,1.285,
2014-04,1.199,
2014-07,1.429,
