"",BBFB1.Q.N.DE.PL.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:29,
1991-01,477.407,
1991-04,373.993,
1991-07,199.869,
1991-10,351.484,
1992-01,55.412,
1992-04,78.454,
1992-07,126.916,
1992-10,267.932,
1993-01,414.207,
1993-04,463.061,
1993-07,188.962,
1993-10,184.671,
1994-01,179.184,
1994-04,279.907,
1994-07,189.808,
1994-10,229.852,
1995-01,194.224,
1995-04,275.405,
1995-07,560.165,
1995-10,694.086,
1996-01,551.652,
1996-04,706.352,
1996-07,765.558,
1996-10,944.714,
1997-01,867.659,
1997-04,1110.671,
1997-07,1052.197,
1997-10,1094.099,
1998-01,1275.047,
1998-04,1278.718,
1998-07,1214.898,
1998-10,1194.430,
1999-01,815.873,
1999-04,1008.082,
1999-07,1074.958,
1999-10,1266.144,
2000-01,918.844,
2000-04,1174.254,
2000-07,1029.233,
2000-10,1091.808,
2001-01,1040.964,
2001-04,920.319,
2001-07,1007.162,
2001-10,833.388,
2002-01,930.474,
2002-04,871.854,
2002-07,964.340,
2002-10,831.934,
2003-01,460.659,
2003-04,606.295,
2003-07,622.856,
2003-10,78.529,
2004-01,670.691,
2004-04,998.847,
2004-07,748.944,
2004-10,230.975,
2005-01,619.183,
2005-04,1084.733,
2005-07,1392.634,
2005-10,1463.553,
2006-01,1144.642,
2006-04,1616.210,
2006-07,1401.224,
2006-10,1740.590,
2007-01,2328.447,
2007-04,2619.880,
2007-07,2798.313,
2007-10,2686.361,
2008-01,3008.115,
2008-04,3039.438,
2008-07,3150.666,
2008-10,2633.598,
2009-01,1942.815,
2009-04,1545.225,
2009-07,1883.392,
2009-10,1755.278,
2010-01,1612.693,
2010-04,1556.180,
2010-07,1745.062,
2010-10,2089.569,
2011-01,2006.675,
2011-04,2323.554,
2011-07,2167.180,
2011-10,1419.585,
2012-01,1700.988,
2012-04,1759.808,
2012-07,1879.431,
2012-10,1100.026,
2013-01,1247.624,
2013-04,869.621,
2013-07,1119.595,
2013-10,1157.328,
2014-01,1280.824,Provisional value
2014-04,1195.222,Provisional value
2014-07,1775.771,Provisional value
