"",BBK01.OEAC07P,BBK01.OEAC07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:15,
2002-01,0.226,
2002-04,0.223,
2002-07,0.227,
2002-10,0.209,
2003-01,0.212,
2003-04,0.211,
2003-07,0.205,
2003-10,0.192,
2004-01,0.190,
2004-04,0.188,
2004-07,0.178,
2004-10,0.181,
2005-01,0.178,
2005-04,0.175,
2005-07,0.171,
2005-10,0.172,
2006-01,0.179,
2006-04,0.176,
2006-07,0.187,
2006-10,0.196,
2007-01,0.190,
2007-04,0.191,
2007-07,0.197,
2007-10,0.208,
2008-01,0.223,
2008-04,0.250,
2008-07,0.268,
2008-10,0.266,
2009-01,0.280,
2009-04,0.261,
2009-07,0.254,
2009-10,0.230,
2010-01,0.229,
2010-04,0.223,
2010-07,0.225,
2010-10,0.227,
2011-01,0.228,
2011-04,0.231,
2011-07,0.235,
2011-10,0.236,
2012-01,0.235,
2012-04,0.232,
2012-07,0.230,
2012-10,0.242,
2013-01,0.242,
2013-04,0.246,
2013-07,0.250,
2013-10,0.248,
2014-01,0.240,
2014-04,0.242,
2014-07,0.243,
