"",BBK01.OEAA51J,BBK01.OEAA51J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:51,
2002-01,0.185,
2002-04,0.179,
2002-07,0.206,
2002-10,0.219,
2003-01,0.099,
2003-04,0.093,
2003-07,0.109,
2003-10,0.182,
2004-01,0.167,
2004-04,0.187,
2004-07,0.143,
2004-10,0.136,
2005-01,0.294,
2005-04,0.187,
2005-07,0.200,
2005-10,0.191,
2006-01,0.160,
2006-04,0.182,
2006-07,0.170,
2006-10,0.255,
2007-01,0.271,
2007-04,0.276,
2007-07,0.368,
2007-10,0.411,
2008-01,0.315,
2008-04,0.363,
2008-07,0.292,
2008-10,0.293,
2009-01,0.244,
2009-04,0.232,
2009-07,0.220,
2009-10,0.507,
2010-01,0.501,
2010-04,0.444,
2010-07,0.492,
2010-10,0.430,
2011-01,0.458,
2011-04,0.490,
2011-07,0.380,
2011-10,0.420,
2012-01,0.455,
2012-04,0.434,
2012-07,0.420,
2012-10,0.455,
2013-01,0.467,
2013-04,0.436,
2013-07,0.416,
2013-10,0.461,
2014-01,0.472,
2014-04,0.470,
2014-07,0.488,
