"",BBK01.OEBB05Q,BBK01.OEBB05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:16,
2002-01,13.271,
2002-04,13.165,
2002-07,13.151,
2002-10,13.089,
2003-01,13.076,
2003-04,13.088,
2003-07,13.056,
2003-10,12.587,
2004-01,12.351,
2004-04,12.256,
2004-07,12.024,
2004-10,11.750,
2005-01,12.845,
2005-04,12.641,
2005-07,12.718,
2005-10,12.462,
2006-01,12.508,
2006-04,12.463,
2006-07,12.401,
2006-10,12.606,
2007-01,12.484,
2007-04,12.481,
2007-07,12.354,
2007-10,12.310,
2008-01,12.112,
2008-04,12.213,
2008-07,12.055,
2008-10,11.933,
2009-01,11.857,
2009-04,13.125,
2009-07,13.010,
2009-10,12.916,
2010-01,12.803,
2010-04,12.752,
2010-07,13.027,
2010-10,12.960,
2011-01,12.694,
2011-04,12.680,
2011-07,12.691,
2011-10,12.514,
2012-01,12.528,
2012-04,12.552,
2012-07,12.730,
2012-10,12.613,
2013-01,12.888,
2013-04,12.850,
2013-07,13.028,
2013-10,12.948,
2014-01,13.086,
2014-04,13.789,
2014-07,13.445,
