"",BBK01.OEXB05H,BBK01.OEXB05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:01,
2002-01,26.980,
2002-04,27.213,
2002-07,26.650,
2002-10,26.811,
2003-01,26.551,
2003-04,27.153,
2003-07,27.742,
2003-10,28.293,
2004-01,24.631,
2004-04,25.091,
2004-07,24.218,
2004-10,21.959,
2005-01,22.444,
2005-04,22.177,
2005-07,22.514,
2005-10,22.690,
2006-01,22.751,
2006-04,23.245,
2006-07,23.379,
2006-10,24.024,
2007-01,24.219,
2007-04,24.796,
2007-07,25.157,
2007-10,25.789,
2008-01,25.701,
2008-04,25.771,
2008-07,26.513,
2008-10,25.390,
2009-01,25.579,
2009-04,25.976,
2009-07,26.773,
2009-10,26.108,
2010-01,26.257,
2010-04,27.307,
2010-07,27.693,
2010-10,27.100,
2011-01,27.838,
2011-04,28.231,
2011-07,36.143,
2011-10,37.010,
2012-01,37.484,
2012-04,37.947,
2012-07,38.109,
2012-10,39.008,
2013-01,39.584,
2013-04,39.970,
2013-07,40.608,
2013-10,41.089,
2014-01,41.563,
2014-04,41.730,
2014-07,42.205,
