"",BBK01.OEHM07Q,BBK01.OEHM07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:06,
2002-01,0.177,
2002-04,0.178,
2002-07,0.169,
2002-10,0.181,
2003-01,0.166,
2003-04,0.149,
2003-07,0.143,
2003-10,0.138,
2004-01,0.140,
2004-04,0.135,
2004-07,0.142,
2004-10,0.134,
2005-01,0.130,
2005-04,0.132,
2005-07,0.134,
2005-10,0.133,
2006-01,0.133,
2006-04,0.153,
2006-07,0.152,
2006-10,0.156,
2007-01,0.156,
2007-04,0.146,
2007-07,0.151,
2007-10,0.155,
2008-01,0.144,
2008-04,0.137,
2008-07,0.131,
2008-10,0.149,
2009-01,0.186,
2009-04,0.188,
2009-07,0.194,
2009-10,0.224,
2010-01,0.191,
2010-04,0.187,
2010-07,0.184,
2010-10,0.175,
2011-01,0.158,
2011-04,0.153,
2011-07,0.149,
2011-10,0.155,
2012-01,0.160,
2012-04,0.163,
2012-07,0.165,
2012-10,0.171,
2013-01,0.167,
2013-04,0.167,
2013-07,0.147,
2013-10,0.158,
2014-01,0.144,
2014-04,0.140,
2014-07,0.143,
