"",BBFN1.M.DE.N.1.A.U3.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U3.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:36,
1995-01,43.249,
1995-02,42.926,
1995-03,42.136,
1995-04,43.829,
1995-05,43.173,
1995-06,43.508,
1995-07,44.842,
1995-08,41.217,
1995-09,43.381,
1995-10,42.694,
1995-11,42.768,
1995-12,37.209,
1996-01,42.309,
1996-02,40.903,
1996-03,40.170,
1996-04,45.986,
1996-05,48.115,
1996-06,45.218,
1996-07,44.681,
1996-08,44.229,
1996-09,42.927,
1996-10,46.355,
1996-11,47.080,
1996-12,46.198,
1997-01,48.805,
1997-02,50.737,
1997-03,49.255,
1997-04,54.198,
1997-05,54.667,
1997-06,50.481,
1997-07,51.542,
1997-08,49.823,
1997-09,50.763,
1997-10,54.591,
1997-11,50.306,
1997-12,44.287,
1998-01,54.654,
1998-02,58.952,
1998-03,60.248,
1998-04,67.404,
1998-05,69.382,
1998-06,62.844,
1998-07,62.077,
1998-08,56.251,
1998-09,56.942,
1998-10,59.915,
1998-11,54.798,
1998-12,44.862,
1999-01,41.706,
1999-02,46.067,
1999-03,46.912,
1999-04,49.335,
1999-05,51.051,
1999-06,50.263,
1999-07,47.001,
1999-08,45.863,
1999-09,45.068,
1999-10,44.695,
1999-11,45.633,
1999-12,35.929,
2000-01,41.360,
2000-02,45.925,
2000-03,54.426,
2000-04,55.145,
2000-05,58.441,
2000-06,59.678,
2000-07,55.249,
2000-08,52.648,
2000-09,45.555,
2000-10,50.938,
2000-11,42.886,
2000-12,37.540,
2001-01,49.701,
2001-02,57.022,
2001-03,58.449,
2001-04,63.198,
2001-05,51.556,
2001-06,51.739,
2001-07,50.078,
2001-08,50.631,
2001-09,50.332,
2001-10,52.152,
2001-11,48.507,
2001-12,49.868,
2002-01,53.215,
2002-02,54.921,
2002-03,53.456,
2002-04,59.266,
2002-05,55.004,
2002-06,49.595,
2002-07,54.697,
2002-08,54.386,
2002-09,55.515,
2002-10,61.116,
2002-11,58.598,
2002-12,48.331,
2003-01,56.600,
2003-02,61.151,
2003-03,66.729,
2003-04,70.310,
2003-05,68.791,
2003-06,66.071,
2003-07,69.542,
2003-08,65.706,
2003-09,62.154,
2003-10,66.059,
2003-11,62.161,
2003-12,58.619,
2004-01,66.776,
2004-02,67.583,
2004-03,67.986,
2004-04,68.243,
2004-05,68.128,
2004-06,68.209,
2004-07,68.990,
2004-08,68.762,
2004-09,69.726,
2004-10,71.956,
2004-11,67.064,
2004-12,60.126,
2005-01,66.213,
2005-02,69.286,
2005-03,70.030,
2005-04,68.525,
2005-05,69.237,
2005-06,67.143,
2005-07,67.172,
2005-08,62.961,
2005-09,67.614,
2005-10,65.384,
2005-11,66.088,
2005-12,59.300,
2006-01,65.418,
2006-02,67.657,
2006-03,68.650,
2006-04,71.604,
2006-05,66.716,
2006-06,66.912,
2006-07,67.122,
2006-08,67.395,
2006-09,70.693,
2006-10,71.729,
2006-11,70.945,
2006-12,60.981,
2007-01,69.481,
2007-02,73.868,
2007-03,72.765,
2007-04,73.153,
2007-05,70.125,
2007-06,69.166,
2007-07,72.078,
2007-08,72.333,
2007-09,73.443,
2007-10,81.123,
2007-11,73.184,
2007-12,64.379,
2008-01,77.204,
2008-02,73.658,
2008-03,71.037,
2008-04,74.530,
2008-05,68.313,
2008-06,66.784,
2008-07,69.748,
2008-08,68.779,
2008-09,70.638,
2008-10,69.517,
2008-11,68.958,
2008-12,70.548,
2009-01,72.582,
2009-02,71.545,
2009-03,78.087,
2009-04,80.269,
2009-05,76.839,
2009-06,78.092,
2009-07,78.269,
2009-08,78.100,
2009-09,76.751,
2009-10,76.191,
2009-11,72.685,
2009-12,67.723,
2010-01,67.017,
2010-02,69.872,
2010-03,74.599,
2010-04,78.077,
2010-05,77.726,
2010-06,73.151,
2010-07,80.009,
2010-08,81.359,
2010-09,85.486,
2010-10,87.134,
2010-11,86.683,
2010-12,74.687,
2011-01,81.699,
2011-02,83.273,
2011-03,77.829,
2011-04,78.885,
2011-05,79.870,
2011-06,80.389,
2011-07,77.990,
2011-08,83.104,
2011-09,79.621,
2011-10,85.407,
2011-11,79.924,
2011-12,79.158,
2012-01,80.651,
2012-02,80.910,
2012-03,91.411,
2012-04,83.490,
2012-05,84.192,
2012-06,94.140,
2012-07,96.141,
2012-08,88.182,
2012-09,90.298,
2012-10,87.331,
2012-11,88.181,
2012-12,83.135,
2013-01,86.987,
2013-02,87.367,
2013-03,88.934,
2013-04,85.227,
2013-05,82.530,
2013-06,83.538,
2013-07,78.746,
2013-08,80.928,
2013-09,85.973,
2013-10,87.583,
2013-11,89.329,
2013-12,87.227,
2014-01,90.408,
2014-02,87.804,
2014-03,97.851,
2014-04,97.712,
2014-05,100.166,
2014-06,93.043,
2014-07,91.537,
2014-08,95.114,
2014-09,94.722,
2014-10,92.102,
2014-11,87.360,
2014-12,79.351,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
