"",BBK01.OEAB09V,BBK01.OEAB09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:03,
2002-01,19.689,
2002-04,19.791,
2002-07,19.693,
2002-10,19.515,
2003-01,19.035,
2003-04,18.372,
2003-07,18.223,
2003-10,18.162,
2004-01,17.983,
2004-04,18.069,
2004-07,18.148,
2004-10,17.666,
2005-01,17.390,
2005-04,17.340,
2005-07,17.017,
2005-10,16.764,
2006-01,16.724,
2006-04,16.970,
2006-07,16.687,
2006-10,16.718,
2007-01,16.344,
2007-04,16.074,
2007-07,16.164,
2007-10,16.476,
2008-01,16.380,
2008-04,14.918,
2008-07,15.279,
2008-10,15.313,
2009-01,15.035,
2009-04,16.722,
2009-07,16.605,
2009-10,18.236,
2010-01,18.288,
2010-04,18.639,
2010-07,17.605,
2010-10,17.661,
2011-01,18.020,
2011-04,18.347,
2011-07,19.095,
2011-10,19.143,
2012-01,19.237,
2012-04,19.497,
2012-07,19.633,
2012-10,19.666,
2013-01,19.664,
2013-04,19.585,
2013-07,19.864,
2013-10,19.981,
2014-01,20.106,
2014-04,20.633,
2014-07,20.792,
