"",BBK01.OEAF40V,BBK01.OEAF40V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:43,
2002-01,0.102,
2002-04,0.106,
2002-07,0.093,
2002-10,0.093,
2003-01,0.095,
2003-04,0.097,
2003-07,0.083,
2003-10,0.085,
2004-01,0.081,
2004-04,0.085,
2004-07,0.082,
2004-10,0.083,
2005-01,0.100,
2005-04,0.101,
2005-07,0.102,
2005-10,0.102,
2006-01,0.087,
2006-04,0.085,
2006-07,0.085,
2006-10,0.085,
2007-01,0.084,
2007-04,0.082,
2007-07,0.081,
2007-10,0.080,
2008-01,0.068,
2008-04,0.068,
2008-07,0.066,
2008-10,0.066,
2009-01,0.056,
2009-04,0.053,
2009-07,0.049,
2009-10,0.047,
2010-01,0.046,
2010-04,0.044,
2010-07,0.044,
2010-10,0.040,
2011-01,0.039,
2011-04,0.039,
2011-07,0.039,
2011-10,0.037,
2012-01,0.038,
2012-04,0.038,
2012-07,0.037,
2012-10,0.039,
2013-01,0.038,
2013-04,0.043,
2013-07,0.038,
2013-10,0.036,
2014-01,0.036,
2014-04,0.034,
2014-07,0.035,
