"",BBK01.OEYL01P,BBK01.OEYL01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:56,
2002-01,0.418,
2002-04,0.421,
2002-07,0.422,
2002-10,0.444,
2003-01,0.453,
2003-04,0.452,
2003-07,0.446,
2003-10,0.457,
2004-01,0.458,
2004-04,0.469,
2004-07,0.500,
2004-10,0.515,
2005-01,0.527,
2005-04,0.533,
2005-07,0.531,
2005-10,0.554,
2006-01,0.564,
2006-04,0.564,
2006-07,0.558,
2006-10,0.573,
2007-01,0.574,
2007-04,0.576,
2007-07,0.582,
2007-10,0.594,
2008-01,0.589,
2008-04,0.586,
2008-07,0.581,
2008-10,0.592,
2009-01,0.588,
2009-04,0.578,
2009-07,0.583,
2009-10,0.601,
2010-01,0.605,
2010-04,0.611,
2010-07,0.615,
2010-10,0.631,
2011-01,0.628,
2011-04,0.622,
2011-07,0.624,
2011-10,0.642,
2012-01,0.653,
2012-04,0.638,
2012-07,0.637,
2012-10,0.649,
2013-01,0.651,
2013-04,0.656,
2013-07,0.663,
2013-10,0.676,
2014-01,0.675,
2014-04,0.684,
2014-07,0.693,
