"",BBK01.OEAC09S,BBK01.OEAC09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:31,
2002-01,7.532,
2002-04,7.544,
2002-07,7.480,
2002-10,7.310,
2003-01,7.119,
2003-04,7.179,
2003-07,7.175,
2003-10,7.130,
2004-01,7.060,
2004-04,7.079,
2004-07,7.069,
2004-10,5.592,
2005-01,5.624,
2005-04,5.628,
2005-07,5.598,
2005-10,5.636,
2006-01,5.600,
2006-04,5.668,
2006-07,5.703,
2006-10,5.730,
2007-01,5.717,
2007-04,5.673,
2007-07,5.759,
2007-10,5.858,
2008-01,5.852,
2008-04,5.858,
2008-07,5.844,
2008-10,5.863,
2009-01,5.748,
2009-04,5.902,
2009-07,5.958,
2009-10,6.297,
2010-01,6.033,
2010-04,6.070,
2010-07,6.211,
2010-10,6.372,
2011-01,6.367,
2011-04,6.449,
2011-07,6.480,
2011-10,6.609,
2012-01,6.619,
2012-04,7.049,
2012-07,7.111,
2012-10,7.202,
2013-01,7.212,
2013-04,7.266,
2013-07,7.369,
2013-10,7.448,
2014-01,7.413,
2014-04,7.420,
2014-07,7.468,
