"",BBDE1.M.DE.Y.GUA1.P2XF01000.BA.V.ABA.A,BBDE1.M.DE.Y.GUA1.P2XF01000.BA.V.ABA.A_FLAGS
"","Turnover / At current prices, flows / Germany / Main construction industry - turnover from construction work / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 09:28:34,
1991-01,6.79,
1991-02,6.38,
1991-03,6.64,
1991-04,6.90,
1991-05,7.06,
1991-06,7.13,
1991-07,7.25,
1991-08,7.15,
1991-09,7.24,
1991-10,7.29,
1991-11,7.54,
1991-12,7.31,
1992-01,7.58,
1992-02,8.30,
1992-03,8.34,
1992-04,8.17,
1992-05,8.22,
1992-06,8.14,
1992-07,8.07,
1992-08,8.41,
1992-09,8.31,
1992-10,8.32,
1992-11,8.39,
1992-12,9.83,
1993-01,8.58,
1993-02,8.05,
1993-03,8.42,
1993-04,8.64,
1993-05,8.62,
1993-06,8.70,
1993-07,8.72,
1993-08,8.72,
1993-09,8.76,
1993-10,8.88,
1993-11,8.73,
1993-12,8.83,
1994-01,9.37,
1994-02,9.51,
1994-03,9.51,
1994-04,9.51,
1994-05,9.46,
1994-06,9.56,
1994-07,9.54,
1994-08,9.47,
1994-09,9.68,
1994-10,9.89,
1994-11,10.11,
1994-12,10.56,
1995-01,9.78,
1995-02,10.61,
1995-03,10.30,
1995-04,9.80,
1995-05,9.72,
1995-06,9.71,
1995-07,9.55,
1995-08,9.60,
1995-09,9.66,
1995-10,9.43,
1995-11,9.58,
1995-12,9.66,
1996-01,8.32,
1996-02,7.69,
1996-03,8.15,
1996-04,9.01,
1996-05,9.41,
1996-06,9.67,
1996-07,9.52,
1996-08,9.72,
1996-09,9.56,
1996-10,9.41,
1996-11,9.61,
1996-12,9.61,
1997-01,8.23,
1997-02,9.17,
1997-03,9.46,
1997-04,9.22,
1997-05,9.18,
1997-06,9.11,
1997-07,9.01,
1997-08,8.94,
1997-09,8.90,
1997-10,8.96,
1997-11,8.83,
1997-12,8.71,
1998-01,8.97,
1998-02,8.91,
1998-03,10.32,
1998-04,8.39,
1998-05,8.29,
1998-06,8.38,
1998-07,8.56,
1998-08,8.45,
1998-09,8.39,
1998-10,8.38,
1998-11,8.27,
1998-12,8.12,
1999-01,8.75,
1999-02,8.35,
1999-03,8.37,
1999-04,8.83,
1999-05,8.68,
1999-06,8.67,
1999-07,8.74,
1999-08,8.56,
1999-09,8.73,
1999-10,8.69,
1999-11,8.54,
1999-12,8.57,
2000-01,8.71,
2000-02,9.07,
2000-03,8.83,
2000-04,8.49,
2000-05,8.51,
2000-06,8.14,
2000-07,7.99,
2000-08,8.07,
2000-09,8.00,
2000-10,7.76,
2000-11,7.92,
2000-12,8.00,
2001-01,8.03,
2001-02,8.22,
2001-03,7.75,
2001-04,7.44,
2001-05,7.65,
2001-06,7.71,
2001-07,7.65,
2001-08,7.63,
2001-09,7.46,
2001-10,7.33,
2001-11,7.45,
2001-12,7.40,
2002-01,7.58,
2002-02,7.77,
2002-03,7.56,
2002-04,7.53,
2002-05,7.29,
2002-06,7.20,
2002-07,7.15,
2002-08,7.02,
2002-09,6.98,
2002-10,6.90,
2002-11,7.02,
2002-12,6.72,
2003-01,6.53,
2003-02,6.64,
2003-03,7.01,
2003-04,7.50,
2003-05,7.03,
2003-06,6.96,
2003-07,7.06,
2003-08,7.02,
2003-09,6.80,
2003-10,6.88,
2003-11,6.95,
2003-12,6.81,
2004-01,6.89,
2004-02,7.02,
2004-03,6.78,
2004-04,6.65,
2004-05,6.54,
2004-06,6.59,
2004-07,6.48,
2004-08,6.44,
2004-09,6.43,
2004-10,6.42,
2004-11,6.29,
2004-12,6.42,
2005-01,6.34,
2005-02,5.74,
2005-03,5.23,
2005-04,6.06,
2005-05,6.28,
2005-06,6.29,
2005-07,6.37,
2005-08,6.21,
2005-09,6.36,
2005-10,6.27,
2005-11,6.32,
2005-12,6.26,
2006-01,6.01,
2006-02,5.83,
2006-03,5.44,
2006-04,6.31,
2006-05,6.81,
2006-06,6.69,
2006-07,6.79,
2006-08,6.85,
2006-09,6.98,
