"",BBK01.OEAA12O,BBK01.OEAA12O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:29,
2002-01,0.180,
2002-04,0.175,
2002-07,0.167,
2002-10,0.178,
2003-01,0.157,
2003-04,0.148,
2003-07,0.133,
2003-10,0.129,
2004-01,0.129,
2004-04,0.107,
2004-07,0.093,
2004-10,0.086,
2005-01,0.083,
2005-04,0.076,
2005-07,0.082,
2005-10,0.086,
2006-01,0.076,
2006-04,0.068,
2006-07,0.067,
2006-10,0.073,
2007-01,0.060,
2007-04,0.059,
2007-07,0.053,
2007-10,0.067,
2008-01,0.045,
2008-04,0.036,
2008-07,0.035,
2008-10,0.044,
2009-01,0.030,
2009-04,0.025,
2009-07,0.023,
2009-10,0.029,
2010-01,0.025,
2010-04,0.024,
2010-07,0.021,
2010-10,0.023,
2011-01,0.021,
2011-04,0.019,
2011-07,0.016,
2011-10,0.016,
2012-01,0.015,
2012-04,0.019,
2012-07,0.010,
2012-10,0.013,
2013-01,0.011,
2013-04,0.016,
2013-07,0.017,
2013-10,0.013,
2014-01,0.009,
2014-04,0.008,
2014-07,0.010,
