"",BBSF2.M.1.T.00000.DGW01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.DGW01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:42,
2009-09,11148,
2009-10,11202,
2009-11,11429,
2009-12,12174,
2010-01,12275,
2010-02,12276,
2010-03,12874,
2010-04,13163,
2010-05,13048,
2010-06,14763,
2010-07,14966,
2010-08,15313,
2010-09,16247,
2010-10,16660,
2010-11,16802,
2010-12,17280,
2011-01,17250,
2011-02,17460,
2011-03,17291,
2011-04,17696,
2011-05,17397,
2011-06,17448,
2011-07,17639,
2011-08,16989,
2011-09,16793,
2011-10,17629,
2011-11,17072,
2011-12,17551,
2012-01,18096,
2012-02,18382,
2012-03,18446,
2012-04,18544,
2012-05,18291,
2012-06,18034,
2012-07,19002,
2012-08,18678,
2012-09,19007,
2012-10,18816,
2012-11,18951,
2012-12,19405,
2013-01,19730,
2013-02,19935,
2013-03,20150,
2013-04,20656,
2013-05,20499,
2013-06,19572,
2013-07,19918,
2013-08,19741,
2013-09,19623,
2013-10,20269,
2013-11,20282,
2013-12,20217,
2014-01,20405,
2014-02,20929,
2014-03,21302,
2014-04,21473,
2014-05,21985,
2014-06,22344,
2014-07,22551,
2014-08,22949,
2014-09,23146,
2014-10,23229,
2014-11,23811,
