"",BBDE1.M.DE.Y.AEB1.A2Q501000.F.V.I10.A,BBDE1.M.DE.Y.AEB1.A2Q501000.F.V.I10.A_FLAGS
"","Orders received from the domestic market / At current prices, flows / Germany / Intermediate and capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:47,
1991-01,85.6,
1991-02,81.5,
1991-03,82.8,
1991-04,80.4,
1991-05,79.8,
1991-06,80.8,
1991-07,77.9,
1991-08,81.8,
1991-09,78.5,
1991-10,80.1,
1991-11,82.1,
1991-12,80.9,
1992-01,83.1,
1992-02,83.6,
1992-03,82.5,
1992-04,81.1,
1992-05,79.3,
1992-06,76.5,
1992-07,74.5,
1992-08,75.0,
1992-09,76.9,
1992-10,72.3,
1992-11,70.4,
1992-12,73.2,
1993-01,71.6,
1993-02,68.6,
1993-03,66.4,
1993-04,66.1,
1993-05,67.7,
1993-06,66.4,
1993-07,68.1,
1993-08,67.1,
1993-09,70.9,
1993-10,69.0,
1993-11,68.0,
1993-12,70.8,
1994-01,68.0,
1994-02,70.3,
1994-03,71.0,
1994-04,71.5,
1994-05,71.3,
1994-06,72.6,
1994-07,73.5,
1994-08,72.9,
1994-09,75.6,
1994-10,76.3,
1994-11,76.4,
1994-12,80.7,
1995-01,74.8,
1995-02,76.5,
1995-03,76.6,
1995-04,76.9,
1995-05,79.1,
1995-06,75.0,
1995-07,78.3,
1995-08,74.3,
1995-09,76.7,
1995-10,72.7,
1995-11,76.7,
1995-12,74.6,
1996-01,73.5,
1996-02,70.8,
1996-03,73.5,
1996-04,73.3,
1996-05,72.3,
1996-06,77.1,
1996-07,73.6,
1996-08,73.8,
1996-09,74.1,
1996-10,74.0,
1996-11,73.5,
1996-12,73.4,
1997-01,73.0,
1997-02,72.9,
1997-03,76.1,
1997-04,75.8,
1997-05,76.4,
1997-06,77.1,
1997-07,77.1,
1997-08,76.1,
1997-09,77.6,
1997-10,78.1,
1997-11,79.4,
1997-12,78.6,
1998-01,82.6,
1998-02,81.0,
1998-03,82.1,
1998-04,81.4,
1998-05,81.2,
1998-06,80.7,
1998-07,82.0,
1998-08,79.2,
1998-09,80.9,
1998-10,78.2,
1998-11,78.5,
1998-12,76.8,
1999-01,79.0,
1999-02,76.4,
1999-03,77.2,
1999-04,76.8,
1999-05,78.3,
1999-06,81.1,
1999-07,80.7,
1999-08,82.6,
1999-09,81.6,
1999-10,84.3,
1999-11,84.1,
1999-12,83.9,
2000-01,82.5,
2000-02,86.7,
2000-03,86.0,
2000-04,90.9,
2000-05,90.1,
2000-06,91.6,
2000-07,90.9,
2000-08,90.1,
2000-09,89.9,
2000-10,89.9,
2000-11,90.9,
2000-12,90.3,
2001-01,90.1,
2001-02,90.4,
2001-03,91.3,
2001-04,87.6,
2001-05,87.1,
2001-06,86.8,
2001-07,86.1,
2001-08,87.7,
2001-09,85.1,
2001-10,83.0,
2001-11,81.9,
2001-12,85.2,
2002-01,84.3,
2002-02,82.5,
2002-03,82.9,
2002-04,84.3,
2002-05,82.9,
2002-06,85.9,
2002-07,85.0,
2002-08,85.9,
2002-09,85.5,
2002-10,85.6,
2002-11,85.4,
2002-12,85.3,
2003-01,85.2,
2003-02,87.8,
2003-03,83.8,
2003-04,84.2,
2003-05,84.3,
2003-06,85.3,
2003-07,84.2,
2003-08,82.7,
2003-09,85.5,
2003-10,87.2,
2003-11,88.4,
2003-12,87.3,
2004-01,87.1,
2004-02,89.3,
2004-03,90.0,
2004-04,90.2,
2004-05,88.9,
2004-06,89.7,
2004-07,90.4,
2004-08,89.7,
2004-09,89.7,
2004-10,92.9,
2004-11,90.4,
2004-12,95.3,
2005-01,91.5,
2005-02,90.1,
2005-03,91.0,
2005-04,90.8,
2005-05,90.3,
2005-06,94.4,
2005-07,93.8,
2005-08,93.8,
2005-09,95.4,
2005-10,96.7,
2005-11,97.2,
2005-12,97.5,
2006-01,97.2,
2006-02,97.7,
2006-03,97.4,
2006-04,99.9,
2006-05,102.9,
2006-06,101.2,
2006-07,102.3,
2006-08,106.6,
2006-09,109.7,
2006-10,106.0,
2006-11,106.4,
2006-12,107.0,
2007-01,108.8,
2007-02,109.5,
2007-03,110.4,
2007-04,109.4,
2007-05,112.6,
2007-06,114.6,
2007-07,111.6,
2007-08,111.1,
2007-09,110.5,
2007-10,114.1,
2007-11,118.4,
2007-12,118.9,
2008-01,114.1,
2008-02,115.2,
2008-03,114.3,
2008-04,115.4,
2008-05,112.1,
2008-06,111.5,
2008-07,109.2,
2008-08,112.5,
2008-09,107.2,
2008-10,98.7,
2008-11,88.0,
2008-12,84.0,
2009-01,80.9,
2009-02,76.1,
2009-03,77.6,
2009-04,76.4,
2009-05,79.8,
2009-06,80.9,
2009-07,87.5,
2009-08,86.6,
2009-09,86.1,
2009-10,86.0,
2009-11,87.3,
2009-12,87.2,
2010-01,90.8,
2010-02,90.5,
2010-03,95.5,
2010-04,99.5,
2010-05,98.9,
2010-06,101.2,
2010-07,100.4,
2010-08,100.8,
2010-09,102.8,
2010-10,104.1,
2010-11,105.4,
2010-12,104.7,
2011-01,109.9,
2011-02,112.1,
2011-03,108.8,
2011-04,110.0,
2011-05,123.1,
2011-06,109.1,
2011-07,112.7,
2011-08,110.4,
2011-09,107.4,
2011-10,107.1,
2011-11,106.6,
2011-12,106.4,
2012-01,106.4,
2012-02,105.5,
2012-03,107.2,
2012-04,106.9,
2012-05,106.2,
2012-06,103.9,
2012-07,103.9,
2012-08,102.3,
2012-09,102.2,
2012-10,102.4,
2012-11,101.9,
2012-12,102.9,
2013-01,103.2,
2013-02,104.5,
2013-03,106.4,
2013-04,102.6,
2013-05,100.9,
2013-06,105.0,
2013-07,104.6,
2013-08,106.6,
2013-09,106.1,
2013-10,104.9,
2013-11,107.4,
2013-12,104.6,
2014-01,106.5,
2014-02,107.8,
2014-03,107.2,
2014-04,107.7,
2014-05,105.7,
2014-06,103.9,
2014-07,105.7,
2014-08,104.7,
2014-09,102.1,
2014-10,108.7,
2014-11,103.5,
2014-12,106.6,Provisional value
