"",BBK01.OEBO03G,BBK01.OEBO03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:32,
2002-01,2.743,
2002-04,3.101,
2002-07,2.120,
2002-10,2.001,
2003-01,2.429,
2003-04,2.607,
2003-07,2.521,
2003-10,2.414,
2004-01,2.862,
2004-04,2.475,
2004-07,2.267,
2004-10,2.429,
2005-01,1.955,
2005-04,1.725,
2005-07,1.760,
2005-10,1.810,
2006-01,1.961,
2006-04,1.820,
2006-07,1.710,
2006-10,1.906,
2007-01,2.223,
2007-04,1.847,
2007-07,1.796,
2007-10,1.966,
2008-01,2.273,
2008-04,2.006,
2008-07,2.035,
2008-10,2.580,
2009-01,2.353,
2009-04,1.959,
2009-07,2.012,
2009-10,2.516,
2010-01,2.622,
2010-04,1.733,
2010-07,1.411,
2010-10,1.668,
2011-01,2.001,
2011-04,1.885,
2011-07,1.694,
2011-10,1.678,
2012-01,1.971,
2012-04,1.424,
2012-07,1.536,
2012-10,1.613,
2013-01,2.224,
2013-04,1.590,
2013-07,1.341,
2013-10,1.148,
2014-01,1.064,
2014-04,0.930,
2014-07,1.218,
