"",BBK01.OEBO01G,BBK01.OEBO01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:31,
2002-01,31.465,
2002-04,31.943,
2002-07,31.314,
2002-10,33.518,
2003-01,36.163,
2003-04,37.054,
2003-07,37.444,
2003-10,39.305,
2004-01,40.804,
2004-04,41.124,
2004-07,41.403,
2004-10,42.234,
2005-01,10.871,
2005-04,11.048,
2005-07,8.863,
2005-10,8.687,
2006-01,8.568,
2006-04,8.334,
2006-07,8.195,
2006-10,8.059,
2007-01,8.063,
2007-04,8.627,
2007-07,8.682,
2007-10,8.764,
2008-01,9.236,
2008-04,9.365,
2008-07,9.698,
2008-10,9.591,
2009-01,10.687,
2009-04,10.813,
2009-07,11.143,
2009-10,11.748,
2010-01,11.564,
2010-04,11.173,
2010-07,10.835,
2010-10,10.714,
2011-01,11.269,
2011-04,11.423,
2011-07,11.194,
2011-10,11.096,
2012-01,10.989,
2012-04,11.530,
2012-07,11.593,
2012-10,11.398,
2013-01,11.196,
2013-04,10.512,
2013-07,10.071,
2013-10,9.767,
2014-01,9.565,
2014-04,9.498,
2014-07,9.223,
