"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Enterprises and households / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:31,
1991-01,7188.792,
1991-02,2479.045,
1991-03,4756.274,
1991-04,4293.760,
1991-05,-1389.089,
1991-06,2271.729,
1991-07,-1244.688,
1991-08,-3975.638,
1991-09,862.164,
1991-10,7481.652,
1991-11,-1247.593,
1991-12,-8089.496,
1992-01,3539.200,
1992-02,-2006.961,
1992-03,-2934.239,
1992-04,871.627,
1992-05,-285.315,
1992-06,335.772,
1992-07,-1714.432,
1992-08,-3043.994,
1992-09,-3205.843,
1992-10,10203.338,
1992-11,-734.724,
1992-12,2432.792,
1993-01,6500.872,
1993-02,4624.841,
1993-03,3417.942,
1993-04,1970.761,
1993-05,-1843.493,
1993-06,1009.369,
1993-07,2217.335,
1993-08,-2828.980,
1993-09,5123.020,
1993-10,10120.888,
1993-11,1493.378,
1993-12,-1434.322,
1994-01,7077.136,
1994-02,-4036.654,
1994-03,5936.707,
1994-04,1086.522,
1994-05,21.851,
1994-06,-3098.101,
1994-07,2813.388,
1994-08,-803.634,
1994-09,1069.741,
1994-10,8549.385,
1994-11,687.717,
1994-12,-4224.276,
1995-01,8246.040,
1995-02,-363.343,
1995-03,3348.842,
1995-04,2515.691,
1995-05,2696.997,
1995-06,-1977.724,
1995-07,2454.942,
1995-08,-6330.018,
1995-09,1097.096,
1995-10,1359.100,
1995-11,-710.118,
1995-12,-12281.649,
1996-01,2959.817,
1996-02,-1979.467,
1996-03,2420.630,
1996-04,3312.013,
1996-05,1461.960,
1996-06,-4939.534,
1996-07,-717.221,
1996-08,-2513.518,
1996-09,612.082,
1996-10,3562.584,
1996-11,5634.453,
1996-12,-9160.805,
1997-01,8858.029,
1997-02,5335.191,
1997-03,871.102,
1997-04,2542.141,
1997-05,-2425.561,
1997-06,-4236.089,
1997-07,1282.064,
1997-08,-4558.358,
1997-09,1018.378,
1997-10,3062.073,
1997-11,-1261.803,
1997-12,-10266.119,
1998-01,13989.162,
1998-02,5390.491,
1998-03,3535.244,
1998-04,4652.135,
1998-05,-1444.776,
1998-06,-1969.009,
1998-07,1882.977,
1998-08,-6088.414,
1998-09,4735.219,
1998-10,3693.284,
1998-11,-7319.122,
1998-12,-15668.673,
1999-01,-5558.896,
1999-02,-648.031,
1999-03,-3263.443,
1999-04,-640.722,
1999-05,-927.394,
1999-06,3839.117,
1999-07,1765.841,
1999-08,-2392.141,
1999-09,1230.514,
1999-10,517.866,
1999-11,1512.949,
1999-12,-9561.442,
2000-01,7194.293,
2000-02,6233.859,
2000-03,14175.473,
2000-04,-2200.207,
2000-05,-5916.554,
2000-06,-2248.503,
2000-07,4433.776,
2000-08,5981.742,
2000-09,-13292.364,
2000-10,5259.221,
2000-11,-1153.423,
2000-12,-11069.088,
2001-01,10862.676,
2001-02,6904.455,
2001-03,-687.892,
2001-04,652.638,
2001-05,-1430.346,
2001-06,1892.511,
2001-07,3317.766,
2001-08,-6830.974,
2001-09,2286.422,
2001-10,6749.391,
2001-11,6295.749,
2001-12,-1828.709,
2002-01,11076.715,
2002-02,-3732.097,
2002-03,782.689,
2002-04,12010.493,
2002-05,4020.968,
2002-06,-11775.677,
2002-07,1353.265,
2002-08,1344.628,
2002-09,3727.519,
2002-10,2244.165,
2002-11,-829.592,
2002-12,-12441.306,
2003-01,12144.924,
2003-02,6143.447,
2003-03,3361.136,
2003-04,9762.183,
2003-05,899.426,
2003-06,-3774.149,
2003-07,9640.883,
2003-08,-3463.383,
2003-09,6239.819,
2003-10,4188.612,
