"",BBK01.OEAC16T,BBK01.OEAC16T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:21,
2002-01,1.659,
2002-04,1.665,
2002-07,1.740,
2002-10,1.652,
2003-01,1.726,
2003-04,1.680,
2003-07,1.707,
2003-10,1.606,
2004-01,1.562,
2004-04,1.548,
2004-07,1.480,
2004-10,1.395,
2005-01,1.405,
2005-04,1.298,
2005-07,1.287,
2005-10,1.230,
2006-01,1.261,
2006-04,1.224,
2006-07,1.205,
2006-10,1.098,
2007-01,1.098,
2007-04,1.132,
2007-07,1.134,
2007-10,1.128,
2008-01,1.188,
2008-04,1.190,
2008-07,1.180,
2008-10,1.099,
2009-01,1.510,
2009-04,1.094,
2009-07,1.091,
2009-10,1.082,
2010-01,1.156,
2010-04,1.210,
2010-07,1.081,
2010-10,0.977,
2011-01,0.998,
2011-04,1.044,
2011-07,1.019,
2011-10,1.002,
2012-01,1.000,
2012-04,1.115,
2012-07,1.134,
2012-10,1.116,
2013-01,1.114,
2013-04,1.286,
2013-07,1.233,
2013-10,1.094,
2014-01,1.084,
2014-04,1.031,
2014-07,1.123,
