"",BBK01.BQ2180,BBK01.BQ2180_FLAGS
"",General government budgetary position (Germany) - total revenue,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:12,
1991-01,139956,
1991-04,151399,
1991-07,162390,
1991-10,185510,
1992-01,168366,
1992-04,178765,
1992-07,181246,
1992-10,202088,
1993-01,175451,
1993-04,187365,
1993-07,184841,
1993-10,213446,
1994-01,189112,
1994-04,201438,
1994-07,195656,
1994-10,223926,
1995-01,197462,
1995-04,200711,
1995-07,208721,
1995-10,240961,
1996-01,200342,
1996-04,205369,
1996-07,206969,
1996-10,237358,
1997-01,201770,
1997-04,208036,
1997-07,213483,
1997-10,246252,
1998-01,207050,
1998-04,220989,
1998-07,216078,
1998-10,257405,
1999-01,207376,
1999-04,227573,
1999-07,223234,
1999-10,264415,
2000-01,211331,
2000-04,230606,
2000-07,275782,
2000-10,254728,
2001-01,213499,
2001-04,229621,
2001-07,227351,
2001-10,248935,
2002-01,206388,
2002-04,228944,
2002-07,227985,
2002-10,257464,
2003-01,207729,Provisional value
2003-04,228217,Provisional value
2003-07,224983,Provisional value
2003-10,262205,Provisional value
2004-01,206351,Provisional value
2004-04,225986,Provisional value
2004-07,226332,Provisional value
2004-10,263582,Provisional value
2005-01,211285,Provisional value
2005-04,233544,Provisional value
2005-07,235907,Provisional value
2005-10,264629,Provisional value
2006-01,229039,Provisional value
2006-04,245119,Provisional value
2006-07,241434,Provisional value
2006-10,271475,Provisional value
2007-01,238381,Provisional value
2007-04,253768,Provisional value
2007-07,248190,Provisional value
2007-10,283155,Provisional value
2008-01,250355,Provisional value
2008-04,262981,Provisional value
2008-07,254467,Provisional value
2008-10,287567,Provisional value
2009-01,250793,Provisional value
2009-04,251795,Provisional value
2009-07,245190,Provisional value
2009-10,270604,Provisional value
2010-01,242167,Provisional value
2010-04,262337,Provisional value
2010-07,251494,Provisional value
2010-10,290591,Provisional value
2011-01,260488,Provisional value
2011-04,292392,Provisional value
2011-07,264298,Provisional value
2011-10,307636,Provisional value
2012-01,274769,Provisional value
2012-04,296229,Provisional value
2012-07,282530,Provisional value
2012-10,313297,Provisional value
2013-01,281151,Provisional value
2013-04,301734,Provisional value
2013-07,289996,Provisional value
2013-10,321606,Provisional value
2014-01,294602,Provisional value
2014-04,303297,Provisional value
"","General: For Germany as a whole (excluding hospitals with commercial accounting practices, excluding supplementary pension funds for public sector employees)",
