"",BBK01.OEBB07J,BBK01.OEBB07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:00,
2002-01,0.687,
2002-04,0.657,
2002-07,0.582,
2002-10,0.507,
2003-01,0.487,
2003-04,0.487,
2003-07,0.503,
2003-10,0.481,
2004-01,0.471,
2004-04,0.454,
2004-07,0.434,
2004-10,0.409,
2005-01,0.399,
2005-04,0.404,
2005-07,0.393,
2005-10,0.372,
2006-01,0.360,
2006-04,0.358,
2006-07,0.379,
2006-10,0.373,
2007-01,0.401,
2007-04,0.435,
2007-07,0.464,
2007-10,0.495,
2008-01,0.499,
2008-04,0.494,
2008-07,0.496,
2008-10,0.463,
2009-01,0.469,
2009-04,0.472,
2009-07,0.472,
2009-10,0.479,
2010-01,0.473,
2010-04,0.462,
2010-07,0.433,
2010-10,0.439,
2011-01,0.418,
2011-04,0.424,
2011-07,0.443,
2011-10,0.433,
2012-01,0.407,
2012-04,0.393,
2012-07,0.350,
2012-10,0.356,
2013-01,0.376,
2013-04,0.385,
2013-07,0.388,
2013-10,0.383,
2014-01,0.353,
2014-04,0.375,
2014-07,0.381,
