"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.CY.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.CY.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Cyprus / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:31,
2009-09,132,
2009-10,125,
2009-11,123,
2009-12,121,
2010-01,168,
2010-02,208,
2010-03,203,
2010-04,201,
2010-05,210,
2010-06,217,
2010-07,236,
2010-08,240,
2010-09,233,
2010-10,346,
2010-11,325,
2010-12,322,
2011-01,305,
2011-02,315,
2011-03,309,
2011-04,303,
2011-05,291,
2011-06,269,
2011-07,208,
2011-08,185,
2011-09,202,
2011-10,207,
2011-11,195,
2011-12,178,
2012-01,177,
2012-02,172,
2012-03,152,
2012-04,148,
2012-05,133,
2012-06,126,
2012-07,114,
2012-08,101,
2012-09,97,
2012-10,98,
2012-11,100,
2012-12,98,
2013-01,85,
2013-02,84,
2013-03,47,
2013-04,54,
2013-05,55,
2013-06,44,
2013-07,43,
2013-08,47,
2013-09,49,
2013-10,30,
2013-11,24,
2013-12,25,
2014-01,25,
2014-02,28,
2014-03,29,
2014-04,30,
2014-05,30,
2014-06,30,
2014-07,30,
2014-08,29,
2014-09,29,
2014-10,28,
2014-11,29,
