"",BBK01.TYI303,BBK01.TYI303_FLAGS
"","Money stock M3 (From 2002, excluding currency in circulation) / German contribution / Changes",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:44,
1970-02,-569,
1970-03,544,
1970-04,497,
1970-05,2487,
1970-06,3073,
1970-07,3121,
1970-08,348,
1970-09,-1013,
1970-10,-816,
1970-11,4898,
1970-12,2868,
1971-01,-1086,
1971-02,534,
1971-03,2332,
1971-04,2255,
1971-05,4046,
1971-06,502,
1971-07,2454,
1971-08,392,
1971-09,604,
1971-10,224,
1971-11,5101,
1971-12,3727,
1972-01,-1545,
1972-02,-24,
1972-03,1580,
1972-04,1258,
1972-05,2241,
1972-06,5637,
1972-07,4456,
1972-08,485,
1972-09,672,
1972-10,-322,
1972-11,6529,
1972-12,4684,
1973-01,-3732,
1973-02,915,
1973-03,3954,
1973-04,662,
1973-05,2693,
1973-06,2034,
1973-07,1099,
1973-08,656,
1973-09,520,
1973-10,111,
1973-11,6203,
1973-12,5478,
1974-01,-3169,
1974-02,-113,
1974-03,1610,
1974-04,2552,
1974-05,1523,
1974-06,1948,
1974-07,1195,
1974-08,-454,
1974-09,-164,
1974-10,-1412,
1974-11,8779,
1974-12,6768,
1975-01,-4925,
1975-02,-1105,
1975-03,1984,
1975-04,-877,
1975-05,1168,
1975-06,3102,
1975-07,1740,
1975-08,2703,
1975-09,659,
1975-10,1219,
1975-11,9641,
1975-12,5498,
1976-01,-5730,
1976-02,-214,
1976-03,2049,
1976-04,1106,
1976-05,2912,
1976-06,5807,
1976-07,1518,
1976-08,2591,
1976-09,-5,
1976-10,2102,
1976-11,8559,
1976-12,1441,
1977-01,-3402,
1977-02,-617,
1977-03,2048,
1977-04,191,
1977-05,3666,
1977-06,2886,
1977-07,7297,
1977-08,189,
1977-09,1377,
1977-10,2126,
1977-11,12157,
1977-12,4027,
1978-01,-4803,
1978-02,-2188,
1978-03,953,
1978-04,1261,
1978-05,3601,
1978-06,4718,
1978-07,6288,
1978-08,2396,
1978-09,1683,
1978-10,4321,
1978-11,14323,
1978-12,2471,
1979-01,-8456,
1979-02,458,
1979-03,1844,
1979-04,672,
1979-05,3598,
1979-06,5245,
1979-07,2053,
1979-08,-234,
1979-09,-272,
1979-10,-1830,
1979-11,12778,
1979-12,5429,
1980-01,-7380,
1980-02,194,
1980-03,2891,
1980-04,-3269,
1980-05,3662,
1980-06,3924,
1980-07,2255,
1980-08,1634,
1980-09,-809,
1980-10,-756,
1980-11,18193,
1980-12,5140,
1981-01,-4354,
1981-02,3010,
1981-03,2572,
1981-04,-130,
1981-05,8978,
1981-06,2295,
1981-07,-425,
1981-08,7255,
1981-09,-1220,
1981-10,-2583,
1981-11,14252,
1981-12,5629,
1982-01,2226,
1982-02,2109,
1982-03,-2059,
1982-04,-4262,
1982-05,7967,
1982-06,6285,
1982-07,-862,
1982-08,6573,
1982-09,-1098,
1982-10,-77,
1982-11,10772,
1982-12,8954,
1983-01,1418,
1983-02,1923,
1983-03,-7272,
1983-04,1382,
1983-05,7706,
1983-06,219,
1983-07,4522,
1983-08,959,
1983-09,-5742,
1983-10,5261,
1983-11,11406,
1983-12,4763,
1984-01,-566,
1984-02,52,
1984-03,-9648,
1984-04,3997,
1984-05,6647,
1984-06,-3683,
1984-07,6690,
1984-08,-3003,
1984-09,3841,
1984-10,-2764,
1984-11,6802,
1984-12,10981,
1985-01,-1639,
1985-02,3742,
1985-03,-4252,
1985-04,-3762,
1985-05,4132,
1985-06,5460,
1985-07,719,
1985-08,-4930,
1985-09,1876,
1985-10,-1487,
1985-11,7114,
1985-12,13553,
1986-01,-6344,
1986-02,-635,
1986-03,-175,
1986-04,-5824,
1986-05,2096,
1986-06,6404,
1986-07,982,
1986-08,3825,
1986-09,-1768,
1986-10,-479,
1986-11,16777,
1986-12,4296,
1987-01,-7264,
1987-02,400,
1987-03,-5003,
1987-04,-3084,
1987-05,9682,
1987-06,558,
1987-07,-4313,
1987-08,9995,
1987-09,-3851,
1987-10,-2959,
1987-11,19194,
1987-12,4532,
1988-01,-1721,
1988-02,3317,
1988-03,-12282,
1988-04,4181,
1988-05,11247,
1988-06,1115,
1988-07,-1062,
1988-08,3528,
1988-09,-3752,
1988-10,6277,
1988-11,19309,
1988-12,5577,
1989-01,-1840,
1989-02,2169,
1989-03,-8614,
1989-04,4286,
1989-05,8670,
1989-06,-3021,
1989-07,11059,
1989-08,1737,
1989-09,-6533,
1989-10,5310,
1989-11,18820,
1989-12,15726,
1990-01,-5354,
1990-02,4113,
1990-03,-14057,
1990-04,3365,
1990-05,6604,
1990-06,-3201,
1990-07,7085,
1990-08,-494,
1990-09,8636,
1990-10,-999,
1990-11,13265,
1990-12,25044,
1991-01,-9429,
1991-02,8857,
1991-03,-12310,
1991-04,-1820,
1991-05,4942,
1991-06,6066,
1991-07,-257,
1991-08,-791,
1991-09,6805,
1991-10,-659,
1991-11,18697,
1991-12,33485,
1992-01,-17736,
1992-02,4796,
1992-03,-2743,
1992-04,3819,
1992-05,8740,
1992-06,3763,
1992-07,5267,
1992-08,8337,
1992-09,12352,
1992-10,743,
1992-11,26194,
1992-12,12507,
1993-01,-14380,
1993-02,7273,
1993-03,6412,
1993-04,6657,
1993-05,11552,
1993-06,4840,
1993-07,4727,
1993-08,6280,
1993-09,-223,
1993-10,12052,
1993-11,28987,
1993-12,41236,
1994-01,-4456,
1994-02,3511,
1994-03,-3060,
1994-04,8036,
1994-05,-145,
1994-06,2455,
1994-07,-3810,
1994-08,302,
1994-09,-8120,
1994-10,5861,
1994-11,12147,
1994-12,10076,
1995-01,-16036,
1995-02,-3054,
1995-03,-13458,
1995-04,1476,
1995-05,7559,
1995-06,-19,
1995-07,-9465,
1995-08,5629,
1995-09,183,
1995-10,8064,
1995-11,24221,
1995-12,33444,
1996-01,-3431,
1996-02,9511,
1996-03,-2083,
1996-04,-2867,
1996-05,2382,
1996-06,20,
1996-07,-2761,
1996-08,5239,
1996-09,2313,
1996-10,3987,
1996-11,17508,
1996-12,49623,
1997-01,-21619,
1997-02,3161,
1997-03,-5959,
1997-04,1738,
1997-05,7443,
1997-06,-1801,
1997-07,-466,
1997-08,3616,
1997-09,-2954,
1997-10,2608,
1997-11,21123,
1997-12,30365,
1998-01,-18417,
1998-02,8766,
1998-03,-2031,
1998-04,6578,
1998-05,4687,
1998-06,320,
1998-07,86,
1998-08,12282,
1998-09,-1686,
1998-10,12673,
1998-11,29467,
1998-12,47826,
1999-01,-599,
1999-02,5907,
1999-03,-965,
1999-04,7810,
1999-05,20849,
1999-06,1797,
1999-07,-3683,
1999-08,3262,
1999-09,6277,
1999-10,7772,
1999-11,34044,
1999-12,18729,
2000-01,-15142,
2000-02,5227,
2000-03,-9061,
2000-04,77,
2000-05,-4806,
2000-06,-10858,
2000-07,-9764,
2000-08,-7511,
2000-09,-8216,
2000-10,1013,
2000-11,19629,
2000-12,27612,
2001-01,-18600,
2001-02,14757,
2001-03,4068,
2001-04,7501,
2001-05,5906,
2001-06,9271,
2001-07,-2100,
2001-08,7896,
2001-09,15280,
2001-10,4446,
2001-11,18706,
2001-12,19178,
2002-01,-22236,
2002-02,-321,
2002-03,-634,
2002-04,-1315,
2002-05,14515,
2002-06,7737,
2002-07,-9618,
2002-08,2603,
2002-09,12618,
2002-10,13962,
2002-11,27017,
2002-12,18699,
2003-01,-3049,
2003-02,19503,
2003-03,497,
2003-04,8799,
2003-05,15618,
2003-06,1811,
2003-07,-14230,
2003-08,1062,
2003-09,1673,
2003-10,5283,
2003-11,25697,
2003-12,-2805,
2004-01,-2759,
2004-02,-703,
2004-03,4363,
2004-04,428,
2004-05,5370,
2004-06,-8604,
2004-07,-3856,
2004-08,2545,
2004-09,9135,
2004-10,-214,
2004-11,18488,
2004-12,-9865,
2005-01,16988,
2005-02,1074,
2005-03,-7473,
2005-04,11978,
2005-05,8799,
2005-06,5678,
2005-07,-580,
2005-08,9058,
2005-09,5983,
2005-10,7179,
2005-11,12783,
2005-12,-5276,
2006-01,7980,
2006-02,-1875,
2006-03,16476,
2006-04,18157,
2006-05,4875,
2006-06,3252,
2006-07,-16455,
2006-08,7469,
2006-09,12645,
2006-10,-8821,
2006-11,24287,
2006-12,11775,
2007-01,8204,
2007-02,5158,
2007-03,14998,
2007-04,9968,
2007-05,10122,
2007-06,21926,
2007-07,3578,
2007-08,16854,
2007-09,28386,
2007-10,-3858,
2007-11,47420,
2007-12,24945,
2008-01,13349,
2008-02,16125,
2008-03,5894,
2008-04,20053,
2008-05,10650,
2008-06,5891,
2008-07,1605,
2008-08,14569,
2008-09,17598,
2008-10,36588,
2008-11,34372,
2008-12,-2099,
2009-01,6108,
2009-02,8770,
2009-03,-22161,
2009-04,26405,
2009-05,-9717,
2009-06,-17093,
2009-07,-24573,
2009-08,-10154,
2009-09,9785,
2009-10,-3010,
2009-11,5963,
2009-12,-8011,
2010-01,-2897,
2010-02,6445,
2010-03,-14608,
2010-04,40676,
2010-05,8760,
2010-06,-3495,
2010-07,-5569,
2010-08,26362,
2010-09,2269,
2010-10,-8798,
2010-11,46304,
2010-12,-17058,
2011-01,-3921,
2011-02,8841,
2011-03,-7569,
2011-04,23528,
2011-05,24988,
2011-06,5165,
2011-07,-5500,
2011-08,30769,
2011-09,17921,
2011-10,2374,
2011-11,30179,
2011-12,-6234,
2012-01,-11655,
2012-02,21693,
2012-03,2674,
2012-04,17851,
2012-05,20329,
2012-06,16515,
2012-07,30271,
2012-08,10805,
2012-09,2097,
2012-10,56133,
2012-11,17544,
2012-12,-53396,
2013-01,-12097,
2013-02,13840,
2013-03,-11799,
2013-04,33055,
2013-05,4048,
2013-06,5699,
2013-07,-14085,
2013-08,3230,
2013-09,4515,
2013-10,32196,
2013-11,1858,
2013-12,-3330,
2014-01,-1327,
2014-02,15181,
2014-03,-10730,
2014-04,33620,
2014-05,15691,
2014-06,-8132,
2014-07,7611,
2014-08,22742,
2014-09,-722,
2014-10,18172,
2014-11,26226,
2014-12,-18222,
2015-01,25371,
