"",BBK01.OEAE32R,BBK01.OEAE32R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:44,
2002-01,0.625,
2002-04,0.636,
2002-07,0.633,
2002-10,0.632,
2003-01,0.617,
2003-04,0.635,
2003-07,0.624,
2003-10,0.633,
2004-01,0.641,
2004-04,0.621,
2004-07,0.617,
2004-10,0.621,
2005-01,0.627,
2005-04,0.630,
2005-07,0.634,
2005-10,0.649,
2006-01,0.646,
2006-04,0.649,
2006-07,0.657,
2006-10,0.669,
2007-01,0.667,
2007-04,0.660,
2007-07,0.636,
2007-10,0.652,
2008-01,0.642,
2008-04,0.661,
2008-07,0.645,
2008-10,0.677,
2009-01,0.671,
2009-04,0.694,
2009-07,0.696,
2009-10,0.681,
2010-01,0.724,
2010-04,0.738,
2010-07,0.752,
2010-10,0.745,
2011-01,0.763,
2011-04,0.769,
2011-07,0.782,
2011-10,0.796,
2012-01,0.817,
2012-04,0.836,
2012-07,0.835,
2012-10,0.827,
2013-01,0.829,
2013-04,0.833,
2013-07,0.817,
2013-10,0.814,
2014-01,0.812,
2014-04,0.821,
2014-07,0.813,
