"",BBFN1.M.DE.N.1.A.MX.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MX.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Mexico,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:35,
1982-09,0.100,
1982-10,0.104,
1982-11,0.105,
1982-12,0.096,
1983-01,0.091,
1983-02,0.091,
1983-03,0.098,
1983-04,0.094,
1983-05,0.103,
1983-06,0.108,
1983-07,0.103,
1983-08,0.101,
1983-09,0.098,
1983-10,0.097,
1983-11,0.097,
1983-12,0.187,
1984-01,0.187,
1984-02,0.135,
1984-03,0.133,
1984-04,0.132,
1984-05,0.130,
1984-06,0.061,
1984-07,0.061,
1984-08,0.064,
1984-09,0.129,
1984-10,0.064,
1984-11,0.071,
1984-12,0.069,
1985-01,0.069,
1985-02,0.067,
1985-03,0.069,
1985-04,0.067,
1985-05,0.069,
1985-06,0.068,
1985-07,0.067,
1985-08,0.063,
1985-09,0.063,
1985-10,0.070,
1985-11,0.065,
1985-12,0.088,
1986-01,0.089,
1986-02,0.076,
1986-03,0.104,
1986-04,0.101,
1986-05,0.104,
1986-06,0.098,
1986-07,0.098,
1986-08,0.101,
1986-09,0.098,
1986-10,0.101,
1986-11,0.098,
1986-12,0.092,
1987-01,0.088,
1987-02,0.065,
1987-03,0.066,
1987-04,0.066,
1987-05,0.066,
1987-06,0.068,
1987-07,0.065,
1987-08,0.064,
1987-09,0.062,
1987-10,0.062,
1987-11,0.063,
1987-12,0.050,
1988-01,0.044,
1988-02,0.044,
1988-03,0.041,
1988-04,0.040,
1988-05,0.048,
1988-06,0.044,
1988-07,0.043,
1988-08,0.043,
1988-09,0.036,
1988-10,0.037,
1988-11,0.029,
1988-12,0.038,
1989-01,0.033,
1989-02,0.035,
1989-03,0.035,
1989-04,0.033,
1989-05,0.034,
1989-06,0.030,
1989-07,0.032,
1989-08,0.031,
1989-09,0.034,
1989-10,0.034,
1989-11,0.040,
1989-12,0.041,
1990-01,0.041,
1990-02,0.103,
1990-03,0.144,
1990-04,0.057,
1990-05,0.061,
1990-06,0.061,
1990-07,0.052,
1990-08,0.055,
1990-09,0.054,
1990-10,0.055,
1990-11,0.058,
1990-12,0.058,
1991-01,0.063,
1991-02,0.064,
1991-03,0.067,
1991-04,0.093,
1991-05,0.079,
1991-06,0.085,
1991-07,0.097,
1991-08,0.096,
1991-09,0.109,
1991-10,0.107,
1991-11,0.101,
1991-12,0.101,
1992-01,0.098,
1992-02,0.103,
1992-03,0.102,
1992-04,0.111,
1992-05,0.120,
1992-06,0.116,
1992-07,0.124,
1992-08,0.122,
1992-09,0.134,
1992-10,0.149,
1992-11,0.164,
1992-12,0.229,
1993-01,0.257,
1993-02,0.295,
1993-03,0.269,
1993-04,0.272,
1993-05,0.232,
1993-06,0.221,
1993-07,0.219,
1993-08,0.232,
1993-09,0.232,
1993-10,0.252,
1993-11,0.256,
1993-12,0.266,
1994-01,0.233,
1994-02,0.224,
1994-03,0.228,
1994-04,0.224,
1994-05,0.236,
1994-06,0.232,
1994-07,0.255,
1994-08,0.263,
1994-09,0.259,
1994-10,0.261,
1994-11,0.264,
1994-12,0.224,
1995-01,0.220,
1995-02,0.228,
1995-03,0.237,
1995-04,0.265,
1995-05,0.264,
1995-06,0.242,
1995-07,0.248,
1995-08,0.271,
1995-09,0.276,
1995-10,0.278,
1995-11,0.278,
1995-12,0.262,
1996-01,0.264,
1996-02,0.263,
1996-03,0.262,
1996-04,0.264,
1996-05,0.265,
1996-06,0.275,
1996-07,0.295,
1996-08,0.316,
1996-09,0.287,
1996-10,0.289,
1996-11,0.282,
1996-12,0.275,
1997-01,0.266,
1997-02,0.290,
1997-03,0.319,
1997-04,0.384,
1997-05,0.444,
1997-06,0.450,
1997-07,0.469,
1997-08,0.568,
1997-09,0.546,
1997-10,0.554,
1997-11,0.562,
1997-12,0.578,
1998-01,0.590,
1998-02,0.598,
1998-03,0.600,
1998-04,0.607,
1998-05,0.631,
1998-06,0.628,
1998-07,0.650,
1998-08,0.658,
1998-09,0.671,
1998-10,0.664,
1998-11,0.668,
1998-12,0.719,
1999-01,0.730,
1999-02,0.741,
1999-03,0.693,
1999-04,0.705,
1999-05,0.687,
1999-06,0.659,
1999-07,0.711,
1999-08,0.666,
1999-09,0.675,
1999-10,0.750,
1999-11,0.711,
1999-12,0.710,
2000-01,0.721,
2000-02,0.696,
2000-03,0.545,
2000-04,0.483,
2000-05,0.552,
2000-06,0.558,
2000-07,0.486,
2000-08,0.557,
2000-09,0.555,
2000-10,0.591,
2000-11,0.608,
2000-12,0.685,
2001-01,0.672,
2001-02,0.692,
2001-03,0.711,
2001-04,0.748,
2001-05,0.716,
2001-06,0.871,
2001-07,0.865,
2001-08,0.695,
2001-09,0.680,
2001-10,0.708,
2001-11,0.660,
2001-12,0.716,
2002-01,0.831,
2002-02,0.717,
2002-03,0.752,
2002-04,0.784,
2002-05,0.775,
2002-06,0.794,
2002-07,0.767,
2002-08,0.784,
2002-09,0.794,
2002-10,0.768,
2002-11,0.715,
2002-12,0.632,
2003-01,0.594,
2003-02,0.600,
2003-03,0.701,
2003-04,0.695,
2003-05,0.859,
2003-06,0.893,
2003-07,0.705,
2003-08,0.710,
2003-09,0.823,
2003-10,0.832,
2003-11,0.823,
2003-12,0.779,
2004-01,0.652,
2004-02,0.627,
2004-03,0.641,
2004-04,0.597,
2004-05,0.611,
2004-06,0.657,
2004-07,0.677,
2004-08,0.666,
2004-09,0.671,
2004-10,0.681,
2004-11,0.668,
2004-12,0.681,
2005-01,0.673,
2005-02,0.759,
2005-03,0.720,
2005-04,0.695,
2005-05,0.742,
2005-06,0.822,
2005-07,0.809,
2005-08,0.818,
2005-09,0.796,
2005-10,0.866,
2005-11,0.932,
2005-12,0.978,
2006-01,0.940,
2006-02,0.899,
2006-03,1.297,
2006-04,1.343,
2006-05,1.377,
2006-06,1.416,
2006-07,1.463,
2006-08,1.523,
2006-09,1.536,
2006-10,1.082,
2006-11,1.522,
2006-12,1.468,
2007-01,1.408,
2007-02,1.414,
2007-03,1.048,
2007-04,0.986,
2007-05,1.020,
2007-06,1.161,
2007-07,1.076,
2007-08,1.540,
2007-09,1.089,
2007-10,1.039,
2007-11,1.106,
2007-12,1.147,
2008-01,0.849,
2008-02,0.845,
2008-03,0.845,
2008-04,0.821,
2008-05,0.841,
2008-06,0.931,
2008-07,1.016,
2008-08,1.109,
2008-09,1.143,
2008-10,1.216,
2008-11,1.199,
2008-12,1.177,
2009-01,1.350,
2009-02,1.273,
2009-03,1.297,
2009-04,1.135,
2009-05,1.012,
2009-06,0.958,
2009-07,0.926,
2009-08,0.723,
2009-09,0.732,
2009-10,0.855,
2009-11,0.842,
2009-12,0.857,
2010-01,0.900,
2010-02,0.867,
2010-03,1.041,
2010-04,0.895,
2010-05,1.120,
2010-06,1.178,
2010-07,1.204,
2010-08,1.219,
2010-09,1.172,
2010-10,1.038,
2010-11,1.243,
2010-12,1.257,
2011-01,1.177,
2011-02,1.168,
2011-03,1.143,
2011-04,1.231,
2011-05,1.285,
2011-06,1.140,
2011-07,1.323,
2011-08,1.299,
2011-09,1.315,
2011-10,1.331,
2011-11,1.333,
2011-12,1.276,
2012-01,1.296,
2012-02,1.271,
2012-03,1.152,
2012-04,1.165,
2012-05,1.214,
2012-06,1.264,
2012-07,1.338,
2012-08,1.257,
2012-09,1.299,
2012-10,1.308,
2012-11,1.478,
2012-12,1.370,
2013-01,1.384,
2013-02,1.369,
2013-03,1.578,
2013-04,1.527,
2013-05,1.614,
2013-06,1.485,
2013-07,1.533,
2013-08,1.555,
2013-09,1.491,
2013-10,1.483,
2013-11,1.522,
2013-12,1.522,
2014-01,1.462,
2014-02,1.391,
2014-03,1.450,
2014-04,1.580,
2014-05,1.541,
2014-06,1.533,
2014-07,1.527,
2014-08,1.540,
2014-09,1.616,
2014-10,1.628,
2014-11,1.585,
2014-12,1.685,
