"",BBK01.OEAB05S,BBK01.OEAB05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:29,
2002-01,23.599,
2002-04,23.573,
2002-07,23.683,
2002-10,23.638,
2003-01,23.315,
2003-04,23.458,
2003-07,23.549,
2003-10,23.828,
2004-01,23.484,
2004-04,23.530,
2004-07,23.596,
2004-10,22.139,
2005-01,23.237,
2005-04,23.210,
2005-07,23.253,
2005-10,23.037,
2006-01,23.025,
2006-04,23.160,
2006-07,23.304,
2006-10,23.199,
2007-01,23.445,
2007-04,23.586,
2007-07,23.660,
2007-10,23.723,
2008-01,23.766,
2008-04,23.984,
2008-07,24.267,
2008-10,24.302,
2009-01,24.349,
2009-04,25.358,
2009-07,25.661,
2009-10,25.873,
2010-01,26.110,
2010-04,26.635,
2010-07,27.005,
2010-10,27.244,
2011-01,27.637,
2011-04,28.302,
2011-07,28.701,
2011-10,29.490,
2012-01,29.712,
2012-04,30.444,
2012-07,30.789,
2012-10,30.985,
2013-01,31.122,
2013-04,31.332,
2013-07,31.589,
2013-10,31.721,
2014-01,31.749,
2014-04,31.823,
2014-07,32.206,
