"",BBK01.OELL04V,BBK01.OELL04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:04,
2002-01,0.776,
2002-04,0.706,
2002-07,0.686,
2002-10,0.733,
2003-01,0.741,
2003-04,0.690,
2003-07,0.693,
2003-10,0.676,
2004-01,0.622,
2004-04,0.611,
2004-07,0.558,
2004-10,0.599,
2005-01,0.626,
2005-04,0.624,
2005-07,0.585,
2005-10,0.640,
2006-01,0.620,
2006-04,0.639,
2006-07,0.621,
2006-10,0.584,
2007-01,0.598,
2007-04,0.661,
2007-07,0.640,
2007-10,0.701,
2008-01,0.723,
2008-04,0.781,
2008-07,0.642,
2008-10,0.702,
2009-01,0.657,
2009-04,0.499,
2009-07,0.418,
2009-10,0.360,
2010-01,0.329,
2010-04,0.315,
2010-07,0.309,
2010-10,0.298,
2011-01,0.299,
2011-04,0.311,
2011-07,0.331,
2011-10,0.340,
2012-01,0.342,
2012-04,0.322,
2012-07,0.293,
2012-10,0.283,
2013-01,0.311,
2013-04,0.284,
2013-07,0.277,
2013-10,0.277,
2014-01,0.252,
2014-04,0.237,
2014-07,0.234,
