"",BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F4.L._T.N.N,BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F4.L._T.N.N_FLAGS
"",IIP - Other Investment - Loans - General government - Long-term original maturity (over 1 year) - Liabilities - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:36,
1999-10,9018,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,7903,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,7597,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,8554,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,11886,
2004-01,11838,
2004-04,12953,
2004-07,14739,
2004-10,14875,
2005-01,16582,
2005-04,17240,
2005-07,15549,
2005-10,15260,
2006-01,16058,
2006-04,15444,
2006-07,15618,
2006-10,16247,
2007-01,16439,
2007-04,15417,
2007-07,15048,
2007-10,14588,
2008-01,14223,
2008-04,14334,
2008-07,13892,
2008-10,14511,
2009-01,14399,
2009-04,13632,
2009-07,13568,
2009-10,13333,
2010-01,13035,
2010-04,13030,
2010-07,13291,
2010-10,14270,
2011-01,14921,
2011-04,16736,
2011-07,18410,
2011-10,18227,
2012-01,35500,
2012-04,47779,
2012-07,45634,
2012-10,54755,
2013-01,55744,
2013-04,61732,
2013-07,61959,
2013-10,61674,
2014-01,60697,
2014-04,62739,
2014-07,62819,
