"",BBK01.OELI07M,BBK01.OELI07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:06,
2002-01,15.484,
2002-04,15.326,
2002-07,15.260,
2002-10,15.632,
2003-01,15.792,
2003-04,15.585,
2003-07,15.522,
2003-10,15.681,
2004-01,15.725,
2004-04,15.702,
2004-07,15.600,
2004-10,15.925,
2005-01,15.809,
2005-04,15.698,
2005-07,15.580,
2005-10,15.736,
2006-01,15.715,
2006-04,15.579,
2006-07,15.366,
2006-10,15.288,
2007-01,14.841,
2007-04,14.482,
2007-07,14.115,
2007-10,14.087,
2008-01,13.749,
2008-04,13.332,
2008-07,12.927,
2008-10,13.136,
2009-01,13.374,
2009-04,13.560,
2009-07,13.788,
2009-10,14.446,
2010-01,14.890,
2010-04,15.008,
2010-07,14.993,
2010-10,15.162,
2011-01,15.273,
2011-04,15.299,
2011-07,15.238,
2011-10,15.352,
2012-01,15.318,
2012-04,15.275,
2012-07,15.118,
2012-10,15.263,
2013-01,15.313,
2013-04,15.307,
2013-07,15.314,
2013-10,15.463,
2014-01,15.528,
2014-04,15.526,
2014-07,15.531,
