"",BBK01.OEBJ03U,BBK01.OEBJ03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:21,
2002-01,0.533,
2002-04,0.464,
2002-07,0.503,
2002-10,0.488,
2003-01,0.451,
2003-04,0.402,
2003-07,0.457,
2003-10,0.445,
2004-01,0.423,
2004-04,0.295,
2004-07,0.342,
2004-10,0.351,
2005-01,0.287,
2005-04,0.300,
2005-07,0.316,
2005-10,0.346,
2006-01,0.342,
2006-04,0.377,
2006-07,0.412,
2006-10,0.459,
2007-01,0.551,
2007-04,0.586,
2007-07,0.684,
2007-10,0.726,
2008-01,0.777,
2008-04,0.865,
2008-07,0.863,
2008-10,0.662,
2009-01,0.442,
2009-04,0.484,
2009-07,0.418,
2009-10,0.375,
2010-01,0.393,
2010-04,0.386,
2010-07,0.361,
2010-10,0.396,
2011-01,0.469,
2011-04,0.497,
2011-07,0.521,
2011-10,0.766,
2012-01,0.951,
2012-04,0.952,
2012-07,0.954,
2012-10,0.910,
2013-01,0.803,
2013-04,0.858,
2013-07,0.837,
2013-10,0.753,
2014-01,0.953,
2014-04,1.026,
2014-07,0.770,
