"",BBK01.OEBI07U,BBK01.OEBI07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:57,
2002-01,1.390,
2002-04,1.212,
2002-07,1.211,
2002-10,1.281,
2003-01,1.277,
2003-04,1.232,
2003-07,1.237,
2003-10,1.243,
2004-01,1.215,
2004-04,1.185,
2004-07,1.208,
2004-10,1.219,
2005-01,1.939,
2005-04,1.906,
2005-07,1.865,
2005-10,1.856,
2006-01,1.853,
2006-04,1.819,
2006-07,1.772,
2006-10,1.813,
2007-01,1.906,
2007-04,1.911,
2007-07,1.909,
2007-10,2.009,
2008-01,2.051,
2008-04,2.096,
2008-07,2.079,
2008-10,2.243,
2009-01,2.235,
2009-04,2.207,
2009-07,2.265,
2009-10,2.266,
2010-01,2.212,
2010-04,2.196,
2010-07,2.193,
2010-10,2.277,
2011-01,2.315,
2011-04,2.295,
2011-07,2.261,
2011-10,2.249,
2012-01,2.328,
2012-04,2.307,
2012-07,2.324,
2012-10,2.320,
2013-01,2.256,
2013-04,2.204,
2013-07,2.183,
2013-10,2.189,
2014-01,2.170,
2014-04,2.122,
2014-07,2.202,
