"",BBK01.OEXI01P,BBK01.OEXI01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:31,
2002-01,0.936,
2002-04,0.911,
2002-07,0.923,
2002-10,0.982,
2003-01,0.994,
2003-04,0.936,
2003-07,0.828,
2003-10,0.790,
2004-01,0.752,
2004-04,0.754,
2004-07,0.804,
2004-10,0.892,
2005-01,0.828,
2005-04,0.842,
2005-07,0.898,
2005-10,0.952,
2006-01,0.983,
2006-04,0.980,
2006-07,0.904,
2006-10,0.999,
2007-01,1.047,
2007-04,1.060,
2007-07,1.133,
2007-10,1.228,
2008-01,1.301,
2008-04,1.315,
2008-07,1.257,
2008-10,1.540,
2009-01,1.534,
2009-04,1.431,
2009-07,1.472,
2009-10,1.438,
2010-01,1.590,
2010-04,1.623,
2010-07,1.627,
2010-10,1.732,
2011-01,1.821,
2011-04,1.907,
2011-07,1.870,
2011-10,1.970,
2012-01,1.977,
2012-04,1.978,
2012-07,1.968,
2012-10,1.968,
2013-01,1.891,
2013-04,1.751,
2013-07,1.705,
2013-10,1.624,
2014-01,1.603,
2014-04,1.590,
2014-07,1.513,
