"",BBK01.OEAD27G,BBK01.OEAD27G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:36,
2002-01,0.595,
2002-04,0.605,
2002-07,0.595,
2002-10,0.552,
2003-01,0.464,
2003-04,0.456,
2003-07,0.405,
2003-10,0.392,
2004-01,0.387,
2004-04,0.384,
2004-07,0.388,
2004-10,0.341,
2005-01,0.332,
2005-04,0.369,
2005-07,0.359,
2005-10,0.336,
2006-01,0.336,
2006-04,0.319,
2006-07,0.313,
2006-10,0.326,
2007-01,0.302,
2007-04,0.289,
2007-07,0.318,
2007-10,0.341,
2008-01,0.349,
2008-04,0.357,
2008-07,0.364,
2008-10,0.317,
2009-01,0.337,
2009-04,0.326,
2009-07,0.353,
2009-10,0.320,
2010-01,0.347,
2010-04,0.353,
2010-07,0.349,
2010-10,0.351,
2011-01,0.361,
2011-04,0.348,
2011-07,0.342,
2011-10,0.340,
2012-01,0.336,
2012-04,0.331,
2012-07,0.331,
2012-10,0.322,
2013-01,0.328,
2013-04,0.323,
2013-07,0.353,
2013-10,0.377,
2014-01,0.349,
2014-04,0.360,
2014-07,0.367,
