"",BBK01.OEAH89I,BBK01.OEAH89I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:52,
2002-01,1.134,
2002-04,1.430,
2002-07,1.461,
2002-10,1.484,
2003-01,1.444,
2003-04,1.483,
2003-07,1.486,
2003-10,1.628,
2004-01,1.664,
2004-04,1.546,
2004-07,1.517,
2004-10,1.531,
2005-01,1.555,
2005-04,1.433,
2005-07,1.456,
2005-10,1.505,
2006-01,1.533,
2006-04,1.592,
2006-07,1.576,
2006-10,1.583,
2007-01,1.538,
2007-04,1.539,
2007-07,1.584,
2007-10,1.606,
2008-01,1.594,
2008-04,1.549,
2008-07,1.513,
2008-10,1.521,
2009-01,1.566,
2009-04,0.415,
2009-07,0.403,
2009-10,0.369,
2010-01,0.343,
2010-04,0.277,
2010-07,0.273,
2010-10,0.255,
2011-01,0.252,
2011-04,0.253,
2011-07,0.261,
2011-10,0.255,
2012-01,0.258,
2012-04,0.277,
2012-07,0.277,
2012-10,0.275,
2013-01,0.262,
2013-04,0.261,
2013-07,0.266,
2013-10,0.295,
2014-01,0.266,
2014-04,0.269,
2014-07,0.280,
