"",BBFB1.Q.N.DE.JP.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.JP.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:36,
1991-01,-212.701,
1991-04,270.012,
1991-07,113.951,
1991-10,1088.005,
1992-01,1508.804,
1992-04,307.526,
1992-07,1777.395,
1992-10,695.921,
1993-01,1441.044,
1993-04,648.225,
1993-07,550.775,
1993-10,2123.822,
1994-01,-802.822,
1994-04,2825.769,
1994-07,-1991.871,
1994-10,-173.280,
1995-01,-717.946,
1995-04,1943.517,
1995-07,591.350,
1995-10,3831.267,
1996-01,-583.990,
1996-04,-1213.731,
1996-07,-535.591,
1996-10,58.897,
1997-01,2493.619,
1997-04,1792.566,
1997-07,-1192.000,
1997-10,1550.540,
1998-01,-652.988,
1998-04,1741.522,
1998-07,3581.252,
1998-10,2229.939,
1999-01,-2374.647,
1999-04,1356.915,
1999-07,1855.349,
1999-10,-82.045,
2000-01,-1687.096,
2000-04,2165.862,
2000-07,216.778,
2000-10,2205.566,
2001-01,4018.269,
2001-04,2220.198,
2001-07,1261.374,
2001-10,-1556.475,
2002-01,-196.245,
2002-04,624.563,
2002-07,6736.806,
2002-10,1485.093,
2003-01,683.171,
2003-04,4155.003,
2003-07,-862.577,
2003-10,217.732,
2004-01,-1654.940,
2004-04,-28.987,
2004-07,1198.167,
2004-10,-2720.923,
2005-01,-3948.193,
2005-04,2682.243,
2005-07,-1067.472,
2005-10,829.531,
2006-01,-1527.079,
2006-04,-229.772,
2006-07,-994.108,
2006-10,-299.479,
2007-01,-1159.569,
2007-04,-316.676,
2007-07,-878.908,
2007-10,872.595,
2008-01,-728.802,
2008-04,-2743.624,
2008-07,2964.106,
2008-10,-781.057,
2009-01,-225.770,
2009-04,-2321.965,
2009-07,608.300,
2009-10,-1419.415,
2010-01,-1085.151,
2010-04,1224.592,
2010-07,-713.356,
2010-10,-1238.633,
2011-01,1133.689,
2011-04,-3920.482,
2011-07,738.938,
2011-10,-113.643,
2012-01,3380.768,
2012-04,-1065.948,
2012-07,1336.766,
2012-10,1678.093,
2013-01,161.455,
2013-04,5407.949,
2013-07,-1282.950,
2013-10,3136.431,
2014-01,-3372.118,Provisional value
2014-04,-2245.603,Provisional value
2014-07,-81.481,Provisional value
2014-10,290.272,Provisional value
