"",BBK01.OEAE22H,BBK01.OEAE22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:11,
2002-01,1.593,
2002-04,1.839,
2002-07,1.737,
2002-10,1.845,
2003-01,1.821,
2003-04,1.663,
2003-07,1.805,
2003-10,2.338,
2004-01,2.321,
2004-04,2.158,
2004-07,2.169,
2004-10,2.151,
2005-01,1.894,
2005-04,2.127,
2005-07,2.263,
2005-10,2.374,
2006-01,2.317,
2006-04,2.449,
2006-07,2.507,
2006-10,2.462,
2007-01,2.686,
2007-04,2.536,
2007-07,2.720,
2007-10,3.112,
2008-01,3.478,
2008-04,3.554,
2008-07,3.443,
2008-10,4.886,
2009-01,4.635,
2009-04,4.262,
2009-07,4.165,
2009-10,4.101,
2010-01,4.156,
2010-04,4.084,
2010-07,3.735,
2010-10,3.933,
2011-01,3.964,
2011-04,3.609,
2011-07,3.572,
2011-10,3.136,
2012-01,2.420,
2012-04,2.333,
2012-07,2.215,
2012-10,2.392,
2013-01,2.503,
2013-04,2.752,
2013-07,2.681,
2013-10,2.727,
2014-01,3.234,
2014-04,3.637,
2014-07,3.645,
