"",BBSF2.M.1.S.00000.GEM01.T.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.T.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / Cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:27,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,606,
1993-05,613,
1993-06,619,
1993-07,636,
1993-08,653,
1993-09,649,
1993-10,672,
1993-11,672,
1993-12,709,
1994-01,711,
1994-02,693,
1994-03,695,
1994-04,709,
1994-05,695,
1994-06,681,
1994-07,707,
1994-08,711,
1994-09,646,
1994-10,652,
1994-11,648,
1994-12,654,
1995-01,648,
1995-02,654,
1995-03,634,
1995-04,601,
1995-05,618,
1995-06,617,
1995-07,634,
1995-08,643,
1995-09,638,
1995-10,636,
1995-11,653,
1995-12,660,
1996-01,684,
1996-02,686,
1996-03,685,
1996-04,696,
1996-05,701,
1996-06,1063,
1996-07,1056,
1996-08,1072,
1996-09,1097,
1996-10,1105,
1996-11,1134,
1996-12,1227,
1997-01,1259,
1997-02,1452,
1997-03,1463,
1997-04,1475,
1997-05,1503,
1997-06,1554,
1997-07,1650,
1997-08,1578,
1997-09,1624,
1997-10,1509,
1997-11,1563,
1997-12,1615,
1998-01,1663,
1998-02,1711,
1998-03,1789,
1998-04,1787,
1998-05,1855,
1998-06,1918,
1998-07,1931,
1998-08,1823,
1998-09,2251,
1998-10,2285,
1998-11,2400,
1998-12,2339,
1999-01,2429,
1999-02,2437,
1999-03,2533,
1999-04,2627,
1999-05,2598,
1999-06,2748,
1999-07,2801,
1999-08,2901,
1999-09,2905,
1999-10,2980,
1999-11,3142,
1999-12,3301,
2000-01,3248,
2000-02,3357,
2000-03,3389,
2000-04,3436,
2000-05,3024,
2000-06,3032,
2000-07,2967,
2000-08,2818,
2000-09,2773,
2000-10,2791,
2000-11,2736,
2000-12,2717,
2001-01,2733,
2001-02,2658,
2001-03,2650,
2001-04,2747,
2001-05,2746,
2001-06,2677,
2001-07,2737,
2001-08,2694,
2001-09,2551,
2001-10,2431,
2001-11,2451,
2001-12,2473,
2002-01,2477,
2002-02,2465,
2002-03,2483,
2002-04,2510,
2002-05,2488,
2002-06,2503,
2002-07,2509,
2002-08,2702,
2002-09,2632,
2002-10,2704,
2002-11,2699,
2002-12,2713,
2003-01,2683,
2003-02,2499,
2003-03,2422,
2003-04,2419,
2003-05,2470,
2003-06,2497,
2003-07,2525,
2003-08,2543,
2003-09,2522,
2003-10,2510,
2003-11,2516,
2003-12,2559,
2004-01,2505,
2004-02,2614,
2004-03,2429,
2004-04,2491,
2004-05,2471,
2004-06,2507,
2004-07,2200,
2004-08,2217,
2004-09,2261,
2004-10,2279,
2004-11,2247,
2004-12,2214,
2005-01,2238,
2005-02,2256,
2005-03,2254,
2005-04,2215,
2005-05,2268,
2005-06,2304,
2005-07,2561,
2005-08,2555,
2005-09,2602,
2005-10,2573,
2005-11,2510,
2005-12,2520,
2006-01,2198,
2006-02,2385,
2006-03,2401,
2006-04,2367,
2006-05,2390,
2006-06,2350,
2006-07,2429,
2006-08,2469,
2006-09,2289,
2006-10,2304,
2006-11,2325,
2006-12,2312,
2007-01,2341,
2007-02,2378,
2007-03,2409,
2007-04,2460,
2007-05,2500,
2007-06,2551,
2007-07,2583,
2007-08,2561,
2007-09,2546,
2007-10,2928,
2007-11,2991,
2007-12,2997,
2008-01,2885,
2008-02,2896,
2008-03,2873,
2008-04,2867,
2008-05,2863,
2008-06,2805,
2008-07,2909,
2008-08,2927,
2008-09,2816,
2008-10,2639,
2008-11,2618,
2008-12,2610,
2009-01,3016,
2009-02,3002,
2009-03,3012,
2009-04,2401,
2009-05,2184,
2009-06,2197,
2009-07,2280,
2009-08,2317,
2009-09,3090,
2009-10,3016,
2009-11,2990,
2009-12,2515,
2010-01,2435,
2010-02,2443,
2010-03,2603,
2010-04,2616,
2010-05,2555,
2010-06,2584,
2010-07,2628,
2010-08,2690,
2010-09,2444,
2010-10,2530,
2010-11,2773,
2010-12,2856,
2011-01,2875,
2011-02,6860,
2011-03,6966,
2011-04,6935,
2011-05,6996,
2011-06,7021,
2011-07,7141,
2011-08,6997,
2011-09,6918,
2011-10,7073,
2011-11,6929,
2011-12,7295,
2012-01,7599,
2012-02,7795,
2012-03,7767,
2012-04,7790,
2012-05,7862,
2012-06,7865,
2012-07,8090,
2012-08,8222,
2012-09,8303,
2012-10,8313,
2012-11,8731,
2012-12,8689,
2013-01,8640,
2013-02,8733,
2013-03,8867,
2013-04,9244,
2013-05,9204,
2013-06,8883,
2013-07,8956,
2013-08,8947,
2013-09,9512,
2013-10,9673,
2013-11,9531,
2013-12,9557,
2014-01,9725,
2014-02,9915,
2014-03,9923,
2014-04,10188,
2014-05,10430,
2014-06,10366,
2014-07,10500,
2014-08,11910,
2014-09,11814,
2014-10,11936,
2014-11,12225,
