"",BBK01.OEAA40P,BBK01.OEAA40P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:03,
2002-01,0.141,
2002-04,0.138,
2002-07,0.134,
2002-10,0.133,
2003-01,0.130,
2003-04,0.125,
2003-07,0.121,
2003-10,0.123,
2004-01,0.118,
2004-04,0.117,
2004-07,0.114,
2004-10,0.111,
2005-01,0.099,
2005-04,0.095,
2005-07,0.093,
2005-10,0.088,
2006-01,0.085,
2006-04,0.084,
2006-07,0.080,
2006-10,0.079,
2007-01,0.076,
2007-04,0.074,
2007-07,0.071,
2007-10,0.069,
2008-01,0.067,
2008-04,0.062,
2008-07,0.061,
2008-10,0.057,
2009-01,0.056,
2009-04,0.054,
2009-07,0.051,
2009-10,0.022,
2010-01,0.020,
2010-04,0.019,
2010-07,0.019,
2010-10,0.018,
2011-01,0.016,
2011-04,0.015,
2011-07,0.015,
2011-10,0.016,
2012-01,0.015,
2012-04,0.014,
2012-07,0.014,
2012-10,0.013,
2013-01,0.007,
2013-04,0.012,
2013-07,0.011,
2013-10,0.009,
2014-01,0.009,
2014-04,0.009,
2014-07,0.008,
