"",BBSF2.M.1.S.00000.GEF01.A.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.A.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Number / Distribution funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:52:28,
2004-01,3,
2004-02,3,
2004-03,3,
2004-04,5,
2004-05,5,
2004-06,7,
2004-07,7,
2004-08,7,
2004-09,7,
2004-10,7,
2004-11,8,
2004-12,15,
2005-01,28,
2005-02,61,
2005-03,100,
2005-04,110,
2005-05,123,
2005-06,132,
2005-07,156,
2005-08,172,
2005-09,208,
2005-10,244,
2005-11,320,
2005-12,376,
2006-01,475,
2006-02,474,
2006-03,478,
2006-04,477,
2006-05,483,
2006-06,496,
2006-07,498,
2006-08,510,
2006-09,512,
2006-10,512,
2006-11,516,
2006-12,517,
2007-01,514,
2007-02,516,
2007-03,510,
2007-04,456,
2007-05,455,
2007-06,458,
2007-07,454,
2007-08,442,
2007-09,442,
2007-10,474,
2007-11,478,
2007-12,444,
2008-01,442,
2008-02,440,
2008-03,437,
2008-04,442,
2008-05,455,
2008-06,452,
2008-07,478,
2008-08,481,
2008-09,485,
2008-10,493,
2008-11,525,
2008-12,528,
2009-01,534,
2009-02,539,
2009-03,541,
2009-04,620,
2009-05,735,
2009-06,740,
2009-07,758,
2009-08,763,
2009-09,767,
2009-10,780,
2009-11,766,
2009-12,763,
2010-01,778,
2010-02,788,
2010-03,814,
2010-04,856,
2010-05,877,
2010-06,881,
2010-07,878,
2010-08,893,
2010-09,895,
2010-10,905,
2010-11,898,
2010-12,813,
2011-01,813,
2011-02,814,
2011-03,807,
2011-04,811,
2011-05,810,
2011-06,809,
2011-07,814,
2011-08,816,
2011-09,820,
2011-10,789,
2011-11,784,
2011-12,774,
2012-01,774,
2012-02,776,
2012-03,771,
2012-04,771,
2012-05,768,
2012-06,770,
2012-07,772,
2012-08,770,
2012-09,768,
2012-10,765,
2012-11,752,
2012-12,747,
2013-01,739,
2013-02,726,
2013-03,722,
2013-04,724,
2013-05,716,
2013-06,718,
2013-07,752,
2013-08,745,
2013-09,743,
2013-10,730,
2013-11,717,
2013-12,715,
2014-01,708,
2014-02,708,
2014-03,702,
2014-04,698,
2014-05,697,
2014-06,698,
2014-07,683,
2014-08,572,
2014-09,576,
2014-10,577,
2014-11,576,
