"",BBSF2.M.1.P.00000.AKT01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.AKT01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Public funds / Equity funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:12,
2009-09,365,
2009-10,327,
2009-11,336,
2009-12,379,
2010-01,374,
2010-02,378,
2010-03,383,
2010-04,340,
2010-05,344,
2010-06,341,
2010-07,335,
2010-08,346,
2010-09,351,
2010-10,342,
2010-11,337,
2010-12,325,
2011-01,327,
2011-02,345,
2011-03,349,
2011-04,340,
2011-05,378,
2011-06,368,
2011-07,374,
2011-08,322,
2011-09,313,
2011-10,296,
2011-11,270,
2011-12,286,
2012-01,285,
2012-02,290,
2012-03,309,
2012-04,299,
2012-05,305,
2012-06,309,
2012-07,349,
2012-08,331,
2012-09,333,
2012-10,353,
2012-11,399,
2012-12,407,
2013-01,421,
2013-02,407,
2013-03,410,
2013-04,396,
2013-05,372,
2013-06,361,
2013-07,385,
2013-08,388,
2013-09,396,
2013-10,363,
2013-11,365,
2013-12,332,
2014-01,464,
2014-02,461,
2014-03,454,
2014-04,456,
2014-05,493,
2014-06,486,
2014-07,463,
2014-08,470,
2014-09,478,
2014-10,475,
2014-11,490,
