"",BBK01.OEAE05P,BBK01.OEAE05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:04,
2002-01,0.256,
2002-04,0.256,
2002-07,0.255,
2002-10,0.255,
2003-01,0.253,
2003-04,0.249,
2003-07,0.250,
2003-10,0.252,
2004-01,0.243,
2004-04,0.244,
2004-07,0.248,
2004-10,0.243,
2005-01,0.241,
2005-04,0.239,
2005-07,0.237,
2005-10,0.236,
2006-01,0.237,
2006-04,0.235,
2006-07,0.230,
2006-10,0.231,
2007-01,0.234,
2007-04,0.236,
2007-07,0.236,
2007-10,0.238,
2008-01,0.242,
2008-04,0.237,
2008-07,0.242,
2008-10,0.235,
2009-01,0.238,
2009-04,0.230,
2009-07,0.230,
2009-10,0.227,
2010-01,0.232,
2010-04,0.229,
2010-07,0.229,
2010-10,0.230,
2011-01,0.226,
2011-04,0.224,
2011-07,0.218,
2011-10,0.217,
2012-01,0.218,
2012-04,0.220,
2012-07,0.220,
2012-10,0.215,
2013-01,0.222,
2013-04,0.220,
2013-07,0.217,
2013-10,0.216,
2014-01,0.213,
2014-04,0.213,
2014-07,0.211,
