"",BBK01.OEXO03L,BBK01.OEXO03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:51,
2002-01,0.626,
2002-04,0.614,
2002-07,0.528,
2002-10,0.505,
2003-01,0.680,
2003-04,0.561,
2003-07,0.607,
2003-10,0.577,
2004-01,0.613,
2004-04,0.546,
2004-07,0.478,
2004-10,0.518,
2005-01,0.528,
2005-04,0.662,
2005-07,0.671,
2005-10,0.507,
2006-01,0.731,
2006-04,0.553,
2006-07,0.563,
2006-10,0.697,
2007-01,0.857,
2007-04,1.016,
2007-07,1.880,
2007-10,1.594,
2008-01,1.424,
2008-04,0.877,
2008-07,0.812,
2008-10,1.155,
2009-01,1.078,
2009-04,0.884,
2009-07,1.929,
2009-10,2.814,
2010-01,2.234,
2010-04,2.616,
2010-07,1.468,
2010-10,2.228,
2011-01,0.857,
2011-04,1.689,
2011-07,0.651,
2011-10,0.776,
2012-01,0.761,
2012-04,0.507,
2012-07,0.819,
2012-10,0.770,
2013-01,0.678,
2013-04,0.471,
2013-07,0.436,
2013-10,0.424,
2014-01,0.487,
2014-04,0.359,
2014-07,0.385,
